"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus..nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"other.female.genital.organs",0.059873422490714,-0.187149539230703,-0.311687231253316,-0.0416581298823491,-0.304643832506683,0.22464413408223,-0.0731992786317676,-0.109803326929139,-0.125905208306256,-0.0855546144104974,0.266664644165538,0.0766172580998627,-0.4119647243938,0.307124477125548,-0.113897444543404,0,-0.131349976350609,-0.115805881209944,0.130220182351137,0.14555118872295,-0.184937680131658,-0.0799829789976072,-0.416560873901162,-0.133557273908527,-0.418892881165454,-0.126768964204456,-0.148966228394413,-0.331186515249971,-0.065419373771638,-0.401838270174605,-0.443760735705765,0.0263150941749917,-0.393863687503966,-0.123695397418809,-0.357862254575887,0.132417871800882,-0.266840644593977,-0.323516678489303,-0.0361540725488811,-0.0929556319845635,-0.272779262444013,-0.291533229334197,-0.0279513415150141,0.0208214236011907
"ovary",-0.36904626029186,-0.227603948649945,0.321406415256673,0.265554311817593,0.0577420743586652,0.107054584409495,-0.223636517871481,-0.124214035213911,-0.163756163297432,-0.0541280549569139,0.147484973190808,-0.13404870684009,0.00827808163005193,0.400822230717024,-0.337358949142979,-0.131349976350609,0,0.00113955964688084,0.157460449336021,0.226923602391375,-0.170521277787048,-0.169840908255073,0.0862690893084538,-0.120524883872451,-0.325698030090872,0.0819413221528229,0.491317868295365,-0.255562422215724,-0.101516152700254,-0.476975409391024,0.183876740631875,-0.410686281964042,0.58423217080572,0.150682025420936,-0.4455186209341,-0.158281852938417,-0.132356058399451,0.179504197220621,0.00326386550038215,-0.120293135457468,-0.360440050860306,0.267839561323879,0.0393005020516745,0.142610022005167
"vagina",0.00167395361200998,-0.327162316592533,-0.10411773121314,-0.337262434736279,0.0921566296381535,-0.204996613417011,-0.170553961513443,-0.221058160428503,-0.243431733638993,0.00238645816175266,0.0972134436965026,-0.127547137423536,-0.386747150681082,0.338389486828234,-0.203801735253385,-0.115805881209944,0.00113955964688084,0,0.0232316191182154,0.0713326021963676,-0.187310704558735,-0.0896301804188891,-0.355681232447836,-0.0664009526666111,-0.217736066875181,0.160311313730462,-0.167103130750079,-0.176689727836033,-0.197728722786287,-0.130069577970197,0.0838826192309667,-0.372563541179571,0.0582539893413314,-0.422966623790799,-0.232145288668482,0.265135697398874,0.0910103046689254,0.201706483311811,-0.170675643124919,0.212523119402166,-0.167566227386479,-0.00241640652680632,0.11881241625962,0.153629556802231
"vulva",-0.00831906362860964,-0.114899856469655,-0.0865845210503625,-0.00849492999441506,-0.143668074309117,0.123374456239561,-0.0222930782783666,0.169264901270208,-0.149389555189498,0.147774021224447,0.197634831261205,0.154254893778762,-0.16160965890618,0.0365052249011786,0.042385113962882,0.130220182351137,0.157460449336021,0.0232316191182154,0,0.14566336189652,0.00541176022639944,0.159931104033306,0.0490147939947327,-0.174756023940596,-0.115463197572609,0.0313282458679128,-0.0880092210246727,0.154039022000738,-0.0507792939342905,-0.128861222517861,-0.122312196365726,-0.170329502593776,0.190397827021656,-0.145894222667822,-0.0799273082076867,0.0559619257657429,-0.010566585322919,0.133570216191929,0.178956508596393,-0.0795125986486408,0.0196589931002002,-0.0373546125943309,0.156922829345036,0.133925056032151
"hodgkin.lymphoma",-0.40223842286425,-0.190148137050637,0.147448018260557,0.321668340542011,-0.175856086294183,-0.0313266730281927,0.0293361559913174,-0.072668546465343,-0.210685232627494,-0.0459797880465891,0.0489607446197165,0.127394443910401,0.0513985923890833,0.214828616010961,-0.0931132577677066,0.14555118872295,0.226923602391375,0.0713326021963676,0.14566336189652,0,-0.170718772201718,-0.0437979857320541,-0.190796497456974,0.0360437208967269,-0.0558165510413108,-0.267322353023302,0.261691427638368,-0.0125831506018082,-0.152608884072573,-0.198227779036514,-0.172878500774635,-0.384527798964893,0.218009594570121,0.09591305139804,-0.312311275787128,0.056888800440297,0.153881453350264,-0.112769725067189,-0.0697296849617818,0.167919882654076,-0.0740534647746775,0.214942718633662,-0.0316553301113634,0.0928071847825722
"leukemia",0.248981302345668,0.510710677647537,0.0672022658722763,-0.0814740501897249,-0.0211001000935397,-0.286449906701985,0.242807146687338,0.167022134949434,0.364693669100485,0.198751973257572,-0.185881966682279,0.125832126907656,0.0345018349464726,-0.569475954154113,0.579861658239798,-0.184937680131658,-0.170521277787048,-0.187310704558735,0.00541176022639944,-0.170718772201718,0,0.22180619397972,0.476070979502172,0.185449690886397,0.298671052736954,0.238610767131259,-0.124090254268764,0.0691672455544119,0.130439631344983,0.472763635813695,-0.0389705457480303,0.433784948385796,-0.0731835763342486,0.204110922264975,0.585681057683795,-2.64109652284282e-05,-0.0705195743388483,0.245330170897337,0.0731394166593235,0.0489863821495191,0.495830275590392,-0.141521802467142,0.0693322912310576,-0.130315971338083
"myeloma",0.0316917432217628,0.308021336553243,0.0725820782315478,-0.0254033607292618,0.409459547790867,0.121927143831047,0.0645905823718869,0.181104412022404,0.117803769739596,0.159062447440773,0.0537861335384064,0.165320031633864,-0.0712506136319976,-0.101439259634305,0.197620226334053,-0.0799829789976072,-0.169840908255073,-0.0896301804188891,0.159931104033306,-0.0437979857320541,0.22180619397972,0,0.204816481159486,-0.0767714387513921,0.1366251992476,-0.0595797243856478,0.00578415376493511,0.164257759484577,0.268369877777317,0.329591572203244,-0.196533138295517,0.0423141105413911,-0.173579835985019,-0.0289753107991706,0.323476436760164,-0.144503327834982,0.325216270579125,0.0159477607873323,0.242848526133016,0.0694969794742023,0.338490368113921,-0.0504893591797697,0.0622723420116826,-0.335788623643686
"non.hodgkin.lymphoma",0.165531057333644,0.400313746313096,0.141481769400589,0.0788916895918493,0.209422151603009,-0.0195039607866976,0.265920592663078,0.100028240367638,0.271085867858908,0.189186688905114,-0.130461274663112,0.25256418101102,0.316238448104446,-0.439408208688024,0.345418215427286,-0.416560873901162,0.0862690893084538,-0.355681232447836,0.0490147939947327,-0.190796497456974,0.476070979502172,0.204816481159486,0,0.240736446148336,0.303866919691576,0.124515276710793,0.177180459639957,0.352310147101232,-0.103982925654795,0.437611694890459,0.252692794466945,0.358861055159804,0.107394053104363,0.309206906984585,0.574368280155893,-0.212495020590256,-0.0275605420065734,0.0574076144279116,0.242386588994534,-0.0827345940680207,0.512334792467065,-0.0492641796971518,0.171159173664455,-0.313482348960153
"bones.and.joints",-0.00043057838180869,0.25447472657157,-0.0555077929966811,-0.138215172767689,-0.00373854653285244,0.118732782746899,0.495369614179515,0.0719154355457926,0.0949860458179298,0.172606485444316,-0.058972074655588,0.143381736697387,0.211961469611306,-0.246195077530078,0.197389265754202,-0.133557273908527,-0.120524883872451,-0.0664009526666111,-0.174756023940596,0.0360437208967269,0.185449690886397,-0.0767714387513921,0.240736446148336,0,0.18037426995044,0.105076769706015,0.186789618881164,0.160239300811207,0.278850191322816,0.219218137085589,0.0932966907103371,-0.0506280678041877,-0.15901043179814,0.0492930757047809,0.255242522438017,-0.261484281477229,-0.111023209106662,-0.0198423863495576,0.0468498628957491,-0.0897199966197657,0.333118758402436,0.151583487895914,-0.122453993005625,0.0133386873378213
"brain.and.other.nervous.system",0.175983240775797,0.422111133990643,0.143181032679835,0.109328081954192,0.0133016453813289,-0.0991836875210683,0.247764538171194,0.0515259465660935,0.15664144446695,0.0568858799200593,-0.330032983011225,0.149412870998897,0.372293594294317,-0.697965606878018,0.399256047101149,-0.418892881165454,-0.325698030090872,-0.217736066875181,-0.115463197572609,-0.0558165510413108,0.298671052736954,0.1366251992476,0.303866919691576,0.18037426995044,0,0.00862563410720422,-0.110867076813839,0.514484067545704,0.00707560520988823,0.601009750101623,0.177117782339424,0.228613902258659,-0.024494023114652,0.137671204382344,0.567331126389077,-0.217236654752807,0.207377323322053,0.0567697288487857,-0.0329638321661069,-0.00400036210547611,0.546973993845758,-0.0957096958609023,-0.207159951913756,-0.222259960823793
