"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus..nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"breast",0,-0.174701186346809,-0.0820405316679958,0.125404729469468,0.309812832593533,-0.0394142319333556,0.145488239573879,0.238360529929479,-0.269231098362751,-0.212638160875949,0.0968120564451812,-0.208351289009643,-0.0844537272054897,-0.211259385343547,-0.0400615380126546,-0.166570654135787,0.0393365229670862,0.435822884137385,0.0292891675452975,0.0654800298706998,0.0507615862619455,0.0275659754287942,-0.26184851664792,0.0153761420219811,-0.0992494026221261,0.0598197791126413,-0.136369427625774,0.292229303223671,-0.209374513780965,-0.083768253070694,-0.034535031237559,0.0375508418368078,0.145822132239425,-0.262916125855469,-0.160296109968227,0.0344761776759652,0.0994744591343644,0.210213004766089,-0.389231221010542,-0.109663572906676,-0.164857145482465,0.0182079986455135,-0.0902244751654162,0.229103134990218
"colon.and.rectum",-0.174701186346809,0,0.209291635999869,0.0735214488487911,0.226578270754677,0.20803281177256,0.12952092575573,-0.00741687151751865,0.510026060580649,-0.00752404517339954,-0.0965601733331104,0.498140969269593,0.405944074386909,-0.371178213742311,0.794478696913027,0.08833874336838,-0.59320954184607,-0.192161991980168,-0.030973801637813,0.0951496174335218,0.4432382208592,0.377643954295404,0.552945287240487,0.282016773132015,0.417301276399337,-0.0199172702470149,-0.0689699960511813,0.13224741125143,0.10040260848128,0.561123628234209,0.053083648240534,0.385975527585868,-0.105044648505306,0.39739258549953,0.859219713862597,-0.228525823360151,-0.576654903935339,-0.0166060458532642,-0.106085307445214,-0.186507931022594,0.824061154982986,-0.24649483069742,-0.0193819129709674,-0.359381119856991
"anus..anal.canal.and.anorectum",-0.0820405316679958,0.209291635999869,0,0.165862567083279,0.220911267479847,0.177303024259805,-0.103242534969103,0.171178160524926,-0.0813596508002043,0.612730996857331,0.00518532139837237,0.332981206903084,0.117182447301355,-0.415980715027308,0.115037485261612,-0.0639363772573339,-0.161164883236372,0.0625464308321439,-0.0310761333924432,0.275586711824828,0.165293968293488,0.320778343874167,0.505182686517179,0.522229048120132,0.299976147785104,-0.234063406929389,0.297738815873836,0.66235687320553,-0.13631177194848,0.286268576930467,-0.00180170578032162,0.111669110329855,-0.0460952439881644,0.0466381034286781,0.415608813922193,-0.250024588021564,-0.401778771636442,0.135490046731069,-0.361968594637883,-0.212043565313451,0.398652542002955,-0.118345649824961,0.0264328123110612,-0.324147912200114
"esophagus",0.125404729469468,0.0735214488487911,0.165862567083279,0,0.262088689124835,0.122837654059541,-0.294093590201668,0.475029562794198,-0.0582010599278404,-0.174566939673534,0.0752653221261238,-0.0323740921834566,0.0853763183216967,-0.0110071335577316,0.137023387952376,0.157664094252073,-0.198205854113479,0.0454389602197985,-0.151094065896782,-0.124921019319194,0.221057900963656,0.00745034777678233,-0.247169641784181,0.0323376473218347,0.173967445653871,0.124430411623119,-0.204869420454128,-0.0414157148209733,0.139164078719362,-0.0387707625915978,0.233322947298638,-0.106805135933003,-0.483488242689035,0.0217805256890862,0.0356190665830607,0.153380235183431,0.154454166967124,-0.22450461842693,0.0202937722250256,0.00187272761432798,-0.0147833948185242,0.113404398676634,0.177630798277299,-0.0556114120047124
"gallbladder",0.309812832593533,0.226578270754677,0.220911267479847,0.262088689124835,0,0.105437149871679,0.410791053733246,0.287143793850475,0.109119462828384,0.205274704305348,0.269650367869815,0.160116456612182,0.323862839821561,-0.275680431019962,0.364144213669461,0.0839796805490559,0.00850110762577416,0.232422430488046,-0.0206097208338194,0.34425426602847,0.0250748288389999,0.26769757885951,0.160775781544071,0.292264317944319,0.256891264119118,0.28554197698135,0.0283163357596914,0.185619889148055,0.151083665273767,0.187625611261458,0.0826127971315773,0.212335827644394,-0.160022040832473,0.286418384776554,0.335599706512574,-0.0866623462551395,-0.259300016967317,0.0751176772388882,-0.335958321994127,-0.385793057825472,0.274207186765547,-0.196951016903733,-0.156678600696438,-0.0595491931756596
"liver.and.intrahepatic.bile.duct",-0.0394142319333556,0.20803281177256,0.177303024259805,0.122837654059541,0.105437149871679,0,-0.289227466210597,0.24034779385093,0.163569736250014,0.0821076633291933,0.131582188895536,-0.0250721595944281,0.292389179921392,0.343588734684595,0.335464290036158,0.105988747962991,-0.190581297138955,0.0396845443184226,0.0909786766676455,0.0354907734708256,0.191282020211351,0.126862761077205,0.0140907198974802,-0.046007937920851,0.0194634552970426,0.443668637375294,-0.0309660808234507,-0.117684761391288,-0.0828493198863741,0.0453219134496148,0.256788957237425,0.0401033930186059,-0.15177791455508,0.326576028440701,0.262179951823858,0.27255537823728,-0.139369858761987,0.0664152932288571,0.28120129048845,-0.0536558066390591,0.265272406619823,-0.133923128710393,-0.261128057281549,0.0740772985343878
"other.biliary",0.145488239573879,0.12952092575573,-0.103242534969103,-0.294093590201668,0.410791053733246,-0.289227466210597,0,-0.180323679133132,0.270625722768947,-0.0187511788198476,0.118502662484709,0.256343147960416,-0.00639156016199352,-0.367637541204527,0.224969739215415,-0.00293163121322763,0.0110027688535027,0.0915488847853409,0.316713554846025,0.180783744784737,-0.142401629260688,0.18086317045933,0.252794289931209,-0.00552043032799218,0.0968050053761775,0.0788123216792691,0.101377282319133,0.100984425089516,0.176602381845595,0.262502903434003,-0.265247473011942,0.169392535973563,0.215205357715885,0.239537019293006,0.234599465316285,-0.206447451676369,-0.173349657312527,0.184009991766808,-0.259350693957897,-0.231281165601692,0.192634362022685,0.0605248211221511,-0.306193595357403,-0.124824359260716
"other.digestive.organs",0.238360529929479,-0.00741687151751865,0.171178160524926,0.475029562794198,0.287143793850475,0.24034779385093,-0.180323679133132,0,-0.216372525544904,-0.109184403651413,-0.0335105265245983,-0.186423579551554,0.228582472577255,-0.0766159696835989,0.193570543212918,0.130794770077931,-0.234874940505453,0.270340226559925,-0.370684378373977,-0.0758087773563609,0.0252438369256077,-0.0600544437220171,-0.113520708557954,0.0309837560205849,0.062429951678157,0.134806729938172,-0.153035948595618,0.0808786724646113,0.000238637573206672,-0.0578109584694389,0.109358506357455,-0.237438075918805,-0.224125985438031,-0.0886446656934967,0.017776387686263,-0.012862966502785,0.142654597832974,-0.0358564225293106,-0.23069626055854,0.00527697580281141,0.119430100981962,-0.0737083918305343,0.394157385750775,0.122817520376925
"pancreas",-0.269231098362751,0.510026060580649,-0.0813596508002043,-0.0582010599278404,0.109119462828384,0.163569736250014,0.270625722768947,-0.216372525544904,0,-0.053920094408898,-0.0711243959980721,0.337224573095008,0.338478355443723,-0.0294687974635036,0.463355617485778,-0.0948828881489894,-0.240929845492175,-0.255223375007818,0.0908619515704081,0.179291552990558,0.225787095511472,0.350603166592665,0.157739435420783,-0.119557892908033,0.309886307451155,0.187587951869516,-0.00174659436056015,-0.144800349132463,0.115448394307734,0.159621043291391,0.152795801976489,0.36558883883,-0.111716762947502,0.452605191260051,0.434147538842302,0.0811104036101205,-0.296791614136819,0.203618397256203,0.355445090927817,-0.301774267601572,0.37411878962629,-0.0183482357334985,-0.13793362124675,-0.179440982056775
"peritoneum..omentum.and.mesentery",-0.212638160875949,-0.00752404517339954,0.612730996857331,-0.174566939673534,0.205274704305348,0.0821076633291933,-0.0187511788198476,-0.109184403651413,-0.053920094408898,0,0.373436843512614,0.421878458203745,0.157955266622573,-0.403270496946783,-0.00872973984880417,-0.172134794236968,0.0204467007277173,-0.00868963810905479,0.125055656661364,0.375435060254817,-0.0671021037421134,0.314826758478999,0.53893180956996,0.479737077219962,0.19742910780992,-0.0797560557536031,0.297920602990842,0.521532276511911,-0.139660901651262,0.190979679896176,-0.042548245032003,0.27435724125796,0.0455690731211805,0.070499811797342,0.308811157562478,-0.10068628282864,-0.467701525978064,0.0260506627683237,-0.195554091242205,-0.13231692266341,0.299206573870774,-0.325628069995623,-0.0904139899622301,-0.373119300093951
