"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"retroperitoneum",-0.104402462213392,-0.0977569043847268,-0.0555201781018884,0.0813984489983459,0.000747011124545146,-0.0918071963814375,-0.194486655445864,-0.181515128769016,0.0830723144211714,0.0809018008959615,0,0.111392968637914,-0.212798317590777,-0.231711829870435,-0.0671368868646399,-0.0687843868178054,0.100213171530959,0.0608073498878412,-0.205269144554367,0.243743556115293,0.0422717617130096,-0.0161036381679105,-0.172633037677328,0.181061091900943,0.140695804306841,-0.0620500970868847,-0.184151551287123,-0.223931647357234,0.347407156629079,0.00400622579099411,-0.0801545022142508,-0.0305052432002132,-0.0802745520669137,0.0786398198418392,0.0300087501524942,-0.256493709126033,-0.15236950333893,-0.171257247341655,-0.116822773841879,0.154977417449761,-0.0408103149643023,0.0896191233539348
"small.intestine",-0.0348502780810784,0.323286630200105,-0.127695220287767,0.208789893555866,-0.0597945424423806,0.180207185263714,-0.0254316346062277,-0.0548307932430861,0.345349834969723,0.150885520912663,0.111392968637914,0,0.156857658031428,-0.0843050773879064,0.277144510984787,0.231208660914065,0.0137267891147789,0.4175368758825,-0.120591684785905,0.330206267082598,0.169957250014276,-0.0792088711103423,0.181444946385254,-0.297101577462501,-0.0419980994969363,-0.275300934911601,0.171944157213834,0.0709397173496782,-0.239324646556098,0.0968625823794955,-0.299840962022742,0.239928155658001,0.380172264047342,0.0394748992881046,-0.0588357117203483,-0.0176200037722703,0.040844671548015,0.052834877015893,0.458868020784225,0.123723436210182,0.00489858401771495,-0.137570963793893
"stomach",0.315735333024366,0.301390533349229,0.122817163563272,0.166341470301503,0.0380852693251511,0.0333537584994435,0.390143246407987,0.0335740981885021,-0.168300038130586,-0.0323760643498407,-0.212798317590777,0.156857658031428,0,-0.357777189853951,0.301197167663949,0.481573273349859,0.132512723819363,0.134356250732478,-0.115881856279419,0.300156240336092,0.464035588483682,-0.173408147376851,0.250411706489502,-0.315120258844269,-0.0233823612724019,-0.0275929683213147,-0.0879227685101426,0.102521157845461,-0.302960747525317,0.249977536103879,0.176044109975145,0.444242405261201,0.178095314338329,-0.184122312828798,-0.42483027698276,0.269349982248771,0.018563877462457,0.152517461402261,0.299625357068692,0.00451311515064061,-0.102991244489434,-0.377621861409385
"hodgkin.lymphoma",-0.240607531793876,-0.379559686657729,-0.0781689092666767,-0.0473687072959487,-0.134380049874709,-0.10115302854759,-0.0332384061172424,0.0471098223574291,0.384785747478465,-0.123033968427733,-0.231711829870435,-0.0843050773879064,-0.357777189853951,0,-0.0947530031542149,-0.399084084525222,-0.157643724109471,-0.233497524616182,0.404718299607308,-0.344313958414443,-0.310279367895407,0.200551028687956,-0.21417328130056,-0.0985638851653479,0.0951512256237478,0.0529347688247876,0.162644702828647,-0.0778145823686591,-0.247226784845213,-0.249046079362613,-0.137917082098789,-0.295577323703664,-0.25550272623698,-0.0863124547451584,0.349617815796064,0.0493435352734395,-0.00389716272413895,-0.223157190586827,-0.204026562551552,0.129146993267534,0.214561401655307,0.373032156779968
"leukemia",0.0504498788068492,0.467355569983408,0.182400057453099,0.227568390354675,0.295176236289952,0.156699976285947,0.255433422049498,-0.0689442610561042,0.0161290951994797,-0.114615646913161,-0.0671368868646399,0.277144510984787,0.301197167663949,-0.0947530031542149,0,0.390234891005869,-0.0269754875606721,0.423938269177782,0.0130629998307528,0.416442280796247,0.312739575049058,0.0611960462176739,0.253115920519641,-0.300894891499973,-0.184067225183732,-0.406175504674117,-0.152500806921894,0.385001699747915,-0.309127820372468,0.291724734631533,-0.0949346735263472,0.550491765441212,0.533465204557658,-0.185819556558205,-0.447728016462477,0.0574804284546948,-0.116868149006069,0.0319679621555241,0.583904925902758,0.12994111898421,-0.158916359029285,-0.478339102202485
"myeloma",0.165901953933872,0.486308152388609,0.150509595177073,0.401635127012816,0.185994907226579,0.149862795602514,0.22963405758672,0.0224972759411356,-0.18465033869004,0.0706982104380751,-0.0687843868178054,0.231208660914065,0.481573273349859,-0.399084084525222,0.390234891005869,0,0.106585990444758,0.264549831647515,-0.0893602172455155,0.432393236894237,0.375177303090471,-0.0612122699295007,0.440476775151419,-0.299489475712328,-0.0505835585255704,-0.120311544981481,-0.155057919276323,0.409306150268836,-0.261726387275107,0.384611319880822,0.126301325219952,0.501931970276633,0.268719033927851,-0.0067711128651357,-0.395648761176367,0.134888532519765,-0.158564500082993,0.16457665055353,0.434138320869034,0.209641303623742,-0.251874012805859,-0.464535432021842
"non.hodgkin.lymphoma",0.096865959544099,-0.127005537187817,0.604158505608628,0.15629855254123,0.0207742647604568,0.217561935482809,-0.224187897886833,-0.0719558421858721,-0.0907368403043135,0.0638295074049317,0.100213171530959,0.0137267891147789,0.132512723819363,-0.157643724109471,-0.0269754875606721,0.106585990444758,0,0.0851919110428845,-0.0851770241307133,0.141221183835391,0.445738710131039,-0.133761581421669,-0.0330131347913186,-0.414202451127149,0.819379323272483,0.2016831146912,-0.306737482366983,-0.299701754170502,-0.0811486770300889,-0.0794863481156493,0.294483278290129,-0.0359333427945899,-0.437507478769523,0.0709428715267937,-0.373873722256227,-0.0595579974392438,-0.304823834769036,0.145041439583253,-0.248229049472573,0.200437669379276,-0.149925272050385,-0.309597934063013
"other.male.genital.organs",0.148194277856076,0.317084201239861,0.109501087648192,0.338429774226031,0.226229945254852,0.142166768814947,0.0212056430489225,-0.0636337871470484,0.17409969760891,0.324483446258911,0.0608073498878412,0.4175368758825,0.134356250732478,-0.233497524616182,0.423938269177782,0.264549831647515,0.0851919110428845,0,-0.142780619581149,0.487219616639278,0.352352068456476,-0.0873853278891856,0.338881130286653,-0.230448701117622,-0.0685244602512681,-0.0934827091040653,-0.109447753618503,-0.0874863818481182,-0.0934545047481011,0.0635660293836987,-0.163058041238326,0.357955060676254,0.297657077713957,-0.31524506921155,-0.336389076835878,0.0554739862741787,-0.0213045039181645,-0.130204744678375,0.401073579236181,-0.173003081912544,-0.0129811603367201,-0.313780874149799
"penis",-0.0972417315159913,0.0400231851655392,0.125065309975802,-0.0720572806058829,0.0331219108695182,0.302330648967196,0.218446376247808,0.11180679934235,0.0432758700677591,-0.0358024452257056,-0.205269144554367,-0.120591684785905,-0.115881856279419,0.404718299607308,0.0130629998307528,-0.0893602172455155,-0.0851770241307133,-0.142780619581149,0,-0.0854576995352096,0.238092772160179,0.267137836617859,0.196191465372352,-0.1830292856798,-0.0476943053633425,-0.118313039014161,-0.236463016236456,0.118756832134489,-0.106589399210859,0.111548007209224,0.0419661865576694,-0.0890106043832652,-0.0253943939396782,-0.0563320190347316,-0.157758904107289,0.081008991685279,0.0397729230580846,-0.062477146474048,0.137281021276298,-0.0181352280109329,0.195979129308417,-0.163716277365454
"prostate",0.253017833347166,0.490444415994209,0.278576421682397,0.330179329992904,-0.0133988304084359,0.261020715603046,0.0629700384039613,0.209063661382402,0.030282760198872,0.314403575031665,0.243743556115293,0.330206267082598,0.300156240336092,-0.344313958414443,0.416442280796247,0.432393236894237,0.141221183835391,0.487219616639278,-0.0854576995352096,0,0.549784536069531,-0.300766771677462,0.224825207691133,-0.442922023445682,-0.0914316731610313,-0.109281160217764,-0.198323830601838,0.346927787514117,-0.0850486840965994,0.321435853456307,0.0694971972881049,0.35033214185578,0.376431802619458,-0.332007740040597,-0.566757321998244,0.222414238033607,-0.0314902109602474,0.146643775140143,0.524255044201077,-0.00177170901895589,-0.088657925755188,-0.59629364755422
