"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","urinary.bladder"
"retroperitoneum",0.032316039237855,-0.158453234764248,-0.00454589378337769,-0.0863499407216772,-0.0931666937253378,-0.0906211450222066,-0.140981191116164,0.0995654632958066,-0.0847482108352926,0.0849014396699101,0,0.0329342158336859,-0.342830236769076,0.337668583474672,-0.222659290436978,0.183155117388979,0.331534694287964,-0.0355156787366195,-0.0188770483778007,-0.0168657924791639,-0.0230377711578727,0.0638474232189202,0.128879151939357,-0.203783691421922,0.360517038558404,0.293271048795038,-0.12622104619052,-0.116567959545385,0.21471353157437,-0.0482941510675402,0.0550991614148605,-0.0353187417101479,-0.334344002085275,0.0251000709343205,-0.0608882536089644,0.256996618665063,-0.0606350582165847,0.42534813387768,-0.277882735559563,0.00678374217939747,-0.00358418427969747
"small.intestine",-0.0109210096895195,0.142283786371794,0.118620443228042,0.222264268168564,0.208457276113366,-0.118754048695473,0.235835098809893,-0.00680524452087179,-0.110898139094518,0.0388168448118255,0.0329342158336859,0,0.163052483157177,0.0705027877140467,0.108744127596605,0.121593418735235,-0.018835754952561,0.166284420164828,0.0757768747830579,-0.17202041198091,0.121688585458399,-0.0688395132567141,0.228367040765051,0.215744266041429,-0.184995006062078,0.142590351604534,0.298537638273444,0.287457196403183,0.188228471426756,0.338624557377255,-0.134271160213917,0.130881542595946,0.311779280897169,0.0579547534714695,0.15888889855711,0.061367608163752,0.216437103404408,0.0601781674354089,0.0407425684895654,0.0103578689550911,-0.0578067630605226
"stomach",-0.265483653812465,0.112917654243635,-0.0779298768750321,0.147661148845177,0.225266775740188,0.275442263585025,0.187856599952038,0.153483358605207,0.113170683031576,0.141204948819339,-0.342830236769076,0.163052483157177,0,-0.429235717745368,0.362946305853821,-0.0084324407015304,-0.146611560039105,0.0438026126705707,-0.0675286519757789,-0.246447778234865,0.0734348947883591,-0.215462596643301,0.102188052235825,0.121501096382059,-0.364920161816742,-0.246910455599487,0.174236465715656,0.381670238101541,-0.151467045465258,0.35187053354578,0.0341030234050651,0.429314745064723,0.340629566890943,-0.105600258297217,0.166327128657038,-0.201412672201099,-0.00972673973454549,-0.268113109207317,0.195101730747767,-0.0901408669420686,-0.131231641899456
"hodgkin.lymphoma",-0.154540354426922,-0.503921946677233,-0.118294939155321,-0.114992773663753,-0.288635669248324,-0.528339360122457,0.0426550019164947,-0.166533351839462,-0.14305042177158,0.160780845582145,0.337668583474672,0.0705027877140467,-0.429235717745368,0,-0.413740994639291,-0.326200748901033,-0.0209454660377259,-0.267056787560132,-0.00297309733902764,-0.0412151516241365,-0.385463230035096,-0.0245469882727173,-0.412033131241453,0.142998555428129,0.224510184046628,0.312632093745075,-0.0215755377374014,-0.343176352272058,0.203623848412873,-0.548246221743544,0.051419732965733,-0.446484402290289,-0.4769568909443,0.311437242754241,-0.186019114281589,0.126877169468329,-0.15564497055887,0.235707721256127,-0.54650014890076,0.310551612963818,0.446950735172212
"leukemia",-0.144417607480474,0.569721928868845,0.0777666349801604,0.253078435242969,0.365362582461276,0.423883101225411,0.202249776416408,0.0983385480254041,0.21197849246091,0.0374823409375706,-0.222659290436978,0.108744127596605,0.362946305853821,-0.413740994639291,0,0.228928899214237,-0.160812453303376,0.154986614399233,0.174396894093744,-0.00382873847678879,0.295716323673412,0.0251403234671716,0.413154839447823,0.100417786427516,-0.457434030351511,-0.26955501386707,0.197321915512121,0.38613488922489,-0.142073923165929,0.343902927504378,-0.201837525734214,0.387786575975493,0.564383658137089,-0.194715310073099,-0.0119213413733772,0.0441736720588704,0.0518062303204711,-0.110822789756822,0.563643248530221,-0.186963292359734,-0.122655626779691
"myeloma",-0.0996372219124723,0.162928219008558,0.213737498679687,0.132124194683079,-0.105132279630859,0.0559285966959137,-0.0811102495967789,0.15466336012217,0.326314929483634,-0.09179365541104,0.183155117388979,0.121593418735235,-0.0084324407015304,-0.326200748901033,0.228928899214237,0,0.165243011071579,0.239496968139406,-0.191060798160019,0.163740519870388,0.178409970687164,0.316852976072931,0.261944392245051,-0.113299432613008,-0.0751038502364838,0.213890163218892,-0.105725348722396,0.104697674673625,0.139978598671744,0.288216221074498,0.228709499792493,0.0542442602162844,0.213034210066357,-0.133885978292305,-0.0492079438242499,0.0676666895828069,0.0745148162039818,0.0386507493793857,0.181012191836921,-0.156552575298805,-0.135653662817915
"non.hodgkin.lymphoma",0.137902878769214,-0.0121400216187227,0.255983775300191,-0.0516168294193316,-0.0930089273916321,0.1097120483676,-0.0549239331280601,0.234155786210095,-0.132131997114277,-0.069633616242874,0.331534694287964,-0.018835754952561,-0.146611560039105,-0.0209454660377259,-0.160812453303376,0.165243011071579,0,0.0899385439919092,-0.0209248935556568,0.245580549621967,0.32341321871137,0.380297862976362,0.243304203537378,-0.297294742998605,0.782074289213094,-0.0670550900249236,-0.0646435198503835,-0.291398211348736,-0.0588803034967194,-0.217474255962742,0.391017455257341,-0.148225576336809,-0.00800405763781339,-0.00242107078909543,-0.333132434418494,0.175271365935725,-0.0781640775448747,0.214709348012912,-0.12011731669294,-0.205858239573117,-0.374927268992612
"other.male.genital.organs",0.132167774028661,0.288990956113015,0.207715798641057,-0.0141355398058884,-0.0908261582970953,0.246423275622551,-0.0457728719870753,-0.173056246556542,-0.0545409687625895,0.060182132956291,-0.0355156787366195,0.166284420164828,0.0438026126705707,-0.267056787560132,0.154986614399233,0.239496968139406,0.0899385439919092,0,-0.10602590621156,-0.100172286141604,0.300177652582741,-0.0391790598734851,0.261965643187511,-0.239860899883698,0.0159174319741735,-0.0688721185159727,-0.108965067943044,0.125070526968868,0.126127985369971,0.334782369344851,0.0965505488229275,0.0930788327706521,0.304283923896507,-0.118864405692756,-0.195332159694829,-0.161634889187292,0.305238062576418,0.21213044234981,0.141079601145843,-0.208298464447294,-0.217830464617515
"penis",0.11135592424028,0.296735569604236,-0.200767283133262,0.149566513461741,0.0937318569116595,0.147685598178498,0.542205885861574,-0.0936267368196007,-0.13892188304941,0.0587172732809057,-0.0188770483778007,0.0757768747830579,-0.0675286519757789,-0.00297309733902764,0.174396894093744,-0.191060798160019,-0.0209248935556568,-0.10602590621156,0,-0.0439441587397216,-0.0910433104306078,-0.13001057015448,-0.0497400951268098,0.357611854023461,-0.0898708999205414,-0.234184903881811,0.0549875857060164,0.0533138063720131,0.179386776275422,-0.0189794412327197,-0.314729908571238,0.0964242272998196,0.107938209226235,-0.0228718581412398,0.0232192987979579,0.109014851869279,-0.114478214907171,0.0550589093362022,0.165533212899835,0.130360477449354,-0.0109001787738817
"prostate",-0.161410062429925,0.0157284585884568,0.461539438217389,-0.0521660021891886,-0.0121857205989392,-0.0136950060109648,-0.207249199786687,0.256461043008437,0.0606025774109528,-0.0710139974776601,-0.0168657924791639,-0.17202041198091,-0.246447778234865,-0.0412151516241365,-0.00382873847678879,0.163740519870388,0.245580549621967,-0.100172286141604,-0.0439441587397216,0,-0.00432719696792183,0.388393040586178,0.346211551188746,0.0410424726612757,0.162857235314005,0.0456906695498446,-0.132441089484937,-0.178528890182966,0.113699027663987,-0.093083826280959,-0.0745715556175158,-0.148008141516673,-0.0480059121193413,0.00991223939993167,-0.0407004571019712,0.277556236900133,-0.0978886829063758,-0.0810264780979267,-0.00314234339666381,-0.00956041516850338,-0.132462246421823
"testis",0.142010923527224,0.545957671828408,0.300465780989305,0.127605589261132,0.436906784310961,0.527773302107673,0.0205479798901448,0.0732146059368805,0.0551260138290088,-0.0633923819921193,-0.0230377711578727,0.121688585458399,0.0734348947883591,-0.385463230035096,0.295716323673412,0.178409970687164,0.32341321871137,0.300177652582741,-0.0910433104306078,-0.00432719696792183,0,-0.00553529701567722,0.683571818974051,-0.0513276655975745,0.111942997776941,-0.217315017581285,-0.0569947161959198,0.302338108576238,-0.254491948325758,0.273931750846828,-0.0644735455257633,0.210110478077781,0.50993977470032,-0.0599536875795244,-0.0921279187322016,0.0717886167902062,-0.000692544320159176,0.107512595636182,0.469429932646261,-0.186115144753605,-0.452048190294246
"bones.and.joints",-0.020613501398499,-0.0910565545931225,0.271984161974461,-0.081292348463318,-0.194584163637063,-0.238525410741382,-0.121233506760455,0.0940088256828334,-0.100637758500293,-0.143940046531593,0.0638474232189202,-0.0688395132567141,-0.215462596643301,-0.0245469882727173,0.0251403234671716,0.316852976072931,0.380297862976362,-0.0391790598734851,-0.13001057015448,0.388393040586178,-0.00553529701567722,0,0.0550915326737048,-0.11341886255619,0.242401788353361,0.0285023528250918,-0.0578231198432328,-0.22102022015388,-0.110667878074899,-0.138997900586325,0.133890257596955,-0.099765193405993,-0.116484033524562,-0.197750642693983,-0.163184911099123,-0.0838320394965419,0.095189622971936,-0.107919394225146,0.00246519758574092,-0.258831228277412,-0.376689561971809
"brain.and.other.nervous.system",0.0258049603324862,0.459902067361879,0.304571134258202,0.229807402507228,0.439098580043803,0.378055835829704,-0.108860821438862,0.191340289823495,0.121714578074489,0.072310308209725,0.128879151939357,0.228367040765051,0.102188052235825,-0.412033131241453,0.413154839447823,0.261944392245051,0.243304203537378,0.261965643187511,-0.0497400951268098,0.346211551188746,0.683571818974051,0.0550915326737048,0,-0.0694063763014726,-0.0255423968704745,-0.0964294487528647,0.0313203274566438,0.450320791916773,-0.141950029912993,0.478432101467948,-0.146709445495386,0.310409688470137,0.453155961738391,-0.148612556010081,0.0884773421478144,0.335184279750654,-0.0448105634495681,0.0344334077864101,0.464127760115175,-0.216749962704708,-0.423103150522514
"eye.and.orbit",-0.146012127748722,0.082600053778094,-0.12719046277492,0.192509203377589,0.124475056050329,-0.080361257191422,0.259748805080286,0.0541126484049818,0.0449770550614039,0.160194757510451,-0.203783691421922,0.215744266041429,0.121501096382059,0.142998555428129,0.100417786427516,-0.113299432613008,-0.297294742998605,-0.239860899883698,0.357611854023461,0.0410424726612757,-0.0513276655975745,-0.11341886255619,-0.0694063763014726,0,-0.189466311520902,0.0648039069189606,0.263796929106416,0.0399219844504592,0.12176995126672,0.130783845992798,-0.492834100477821,-0.0843260626105064,0.130009335485378,0.280686284837175,-0.00567123785695149,-0.00565683004118606,-0.0446600412352382,-0.254816312780001,-0.0453674221073047,0.418601118623387,0.199994385757994
"kaposi.sarcoma.",0.21468510289511,-0.311548857294026,0.183615082497331,-0.2408548369761,-0.249271419526613,-0.08176414362842,-0.219047506176981,0.140729259344471,-0.292893930973098,0.00517132752244728,0.360517038558404,-0.184995006062078,-0.364920161816742,0.224510184046628,-0.457434030351511,-0.0751038502364838,0.782074289213094,0.0159174319741735,-0.0898708999205414,0.162857235314005,0.111942997776941,0.242401788353361,-0.0255423968704745,-0.189466311520902,0,0.0574829222514291,-0.132197686824558,-0.534561252879079,-0.00765884885583789,-0.427273421764786,0.266633705077581,-0.426125048696321,-0.313369310148604,0.0250849852763711,-0.416011520314553,0.107947152361682,-0.0166472637255267,0.245020552209947,-0.365387287811035,-0.10410721309268,-0.121549103405927
"melanoma.of.the.skin",0.0632851575112904,-0.209602836409324,0.094973626545149,-0.306192272053057,-0.215563612974265,-0.358489101716818,-0.346679700033847,-0.0395555352759843,-0.168689905956257,-0.124024297553334,0.293271048795038,0.142590351604534,-0.246910455599487,0.312632093745075,-0.26955501386707,0.213890163218892,-0.0670550900249236,-0.0688721185159727,-0.234184903881811,0.0456906695498446,-0.217315017581285,0.0285023528250918,-0.0964294487528647,0.0648039069189606,0.0574829222514291,0,0.181353061811211,-0.102489357735916,0.176805781267853,-0.0711513868156586,0.0200765799405688,-0.114869637163561,-0.45908173405904,-0.030445669579223,-0.232906320865489,0.0381510501752669,0.239134811961028,0.0942905609950176,-0.495220225075934,0.335439778959116,0.24062391539703
