"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus..nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"breast",0,0.302656646189826,0.169518813474903,-0.0493949661256874,-0.0419408093674604,0.251754542959676,0.130966330483238,-0.158928359441681,0.287977541799238,-0.0887386711634031,-0.0928526016769479,0.0587024670095316,-0.0500337174216681,-0.187207169734853,0.240722060573415,0.267662235471322,-0.401464621286505,-0.00314543580595773,0.315768577850438,-0.127512035579218,0.178886329829957,0.111131438230472,-0.0852894326903783,-0.127694219904915,0.321132863177549,-0.201366075816661,-0.411749146735005,0.237225466521399,-0.169247359184399,0.226685911133141,0.265581415816954,0.114190477288511,0.0268752913297905,-0.217983698044399,0.231913288964551,-0.0865598274366735,-0.142482944630087,0.0392037993608772,-0.190169020460477,0.00135110554161328,0.227243433097396,-0.0270341509690574,0.361889632129656,0.235418178915685
"colon.and.rectum",0.302656646189826,0,0.115753995528756,0.23685723624015,0.224290503662948,0.362658418034427,0.0457324007630487,0.0467664621768836,0.513337359319513,0.00846447078517911,-0.0895515774547177,0.424075600360845,0.467517453528534,-0.34431740532634,0.743968787342594,-0.0802429314664023,-0.484452317001345,-0.159887124530988,-0.0272169701965865,-0.144524809503576,0.391031860917537,0.398274523491782,0.349416470663975,-0.0856957572441312,0.565667553583558,-0.171963946337842,-0.1532243615159,0.237198134711942,0.127371352490095,0.598943581106253,0.500066982465799,0.648453537885241,-0.13637565043857,0.509849325358448,0.819687344612408,0.067282958088927,-0.100399053318976,0.299057093089977,-0.341753288444088,-0.153429462688644,0.761016021488556,-0.0365104265411973,-0.00185581777580182,-0.192525585542402
"anus..anal.canal.and.anorectum",0.169518813474903,0.115753995528756,0,-0.0432113783021864,-0.114686337810643,0.110361739788,0.0785302360695867,-0.0870712831038108,-0.0288341537449596,-0.162394158211029,-0.140530472503234,-0.148408878713448,0.245338975753775,-0.246323735904056,0.194841225707775,-0.0539345329716324,-0.252227716891847,0.0788950773679097,0.0394685319119564,0.150194490330052,0.322844715876525,0.408150122874177,0.287769034042886,-0.0831301345942692,0.206556308644009,-0.087005750981409,0.0730625082932565,0.234013725209101,0.0530491657519455,0.330593037710356,0.0628809358100905,0.304808640562422,0.232876234729076,-0.0582380246024238,0.261497492763264,-0.115634220377609,-0.139735614239688,0.141885014931156,-0.03122707946906,-0.193674281228335,0.361423228109361,-0.165576904942432,0.204406235643888,-0.167312290136117
"esophagus",-0.0493949661256874,0.23685723624015,-0.0432113783021864,0,0.241466605564909,0.0909480887524359,-0.198084512201384,-0.11770473350337,0.196344923306725,-0.15691071441699,0.0122136408525208,0.206151464620798,0.214239623466216,-0.322717354881227,0.023916770207971,0.0628918705483717,-0.119311385044192,0.0539549140809299,-0.0238030075138962,0.179428886162308,0.0349746343505983,0.120186687582754,0.330100810024578,0.188373901069178,0.23907825942871,-0.182387877296538,0.213803478791013,0.214174524275124,-0.0492473956635027,0.272269048201787,0.0447474446721439,0.205991268027803,0.188985851405495,0.303385840598321,0.278818058371139,-0.0793918471459361,-0.0830471165407308,-0.0780540473571716,-0.0414044510963582,-0.237264396402022,0.279959971249358,-0.119833076720756,-0.0746268825017035,-0.442194779777398
"gallbladder",-0.0419408093674604,0.224290503662948,-0.114686337810643,0.241466605564909,0,0.155795897714002,-0.104792378108447,-0.321183175371197,0.169165201653989,0.322950742751897,0.0323158399116022,0.325521455648318,0.158249519093448,-0.0883883163262376,-0.00212739267617759,0.168734797166781,-0.0589635361344819,0.164128560241143,0.188823852796123,0.0858477793580072,0.0460843797453276,0.0690846229010387,0.307570334899038,0.178748898445621,0.212748382222803,0.170636420080816,0.0773763996252689,-0.0120827461123123,0.177478161837592,0.127717780499106,-0.176605670629344,0.203642365684225,0.299419290171957,0.116372737948815,0.180290086752287,-0.272513004648705,0.0788664621333741,0.0781037251133043,-0.0980326571120416,-0.268559338258624,0.128899076654802,-0.163880036173418,-0.0259427292911037,0.0606214986232262
"liver.and.intrahepatic.bile.duct",0.251754542959676,0.362658418034427,0.110361739788,0.0909480887524359,0.155795897714002,0,0.119988412158964,-0.0993655785850178,0.371028250270041,0.0917068830930912,0.17113533221881,0.0255595367066013,0.123088843306464,-0.184836216840622,0.307492322938256,-0.0478920007523212,-0.20163832380437,-0.0363481102341103,0.161726585243661,-0.0400434638725492,0.0625837360288136,0.0310872875325424,0.202395755397844,0.0962565068916999,0.376922364737858,-0.282507935953933,-0.207635591827037,-0.000394092390313154,-0.203065518170152,0.271527288064884,0.184042594797724,0.247385717637984,-0.171067713945685,0.214533579496623,0.402524537829905,-0.153792587039547,0.152446930342366,0.128475076983951,0.168449239227633,-0.0816644990338314,0.374337246813255,-0.097585190334605,0.0943581748957091,-0.027591436958841
"other.biliary",0.130966330483238,0.0457324007630487,0.0785302360695867,-0.198084512201384,-0.104792378108447,0.119988412158964,0,0.222329932419528,0.0100160059341828,0.261616623345812,-0.198440104712626,-0.0687845188265885,0.209055467426487,-0.0954201757437887,-0.091312722223325,-0.208447815730976,0.0480775114326469,-0.188904661134358,0.103143527057921,0.0706555996181826,0.0246009004446535,0.00615013616373893,0.207149471171003,-0.0181564165306146,0.151578007972544,-0.0703881340984071,-0.00918226655112642,0.188749133330759,-0.272880917616868,-0.0728681904928238,0.0423116304320827,-0.0649509704205607,0.0197788568359894,0.0640535661102838,0.0360730506240909,-0.051874592455154,-0.376746324718458,0.271803440123656,-0.14143562263968,0.368737465566014,-0.0509123711269785,0.193519454532928,0.0650921569952313,-0.0100689364605408
"other.digestive.organs",-0.158928359441681,0.0467664621768836,-0.0870712831038108,-0.11770473350337,-0.321183175371197,-0.0993655785850178,0.222329932419528,0,-0.0800550196680965,-0.226290917884429,0.331069540684872,-0.0633341973122127,0.0910745532936961,-0.0153216260875139,0.0283406872144222,-0.250657803799033,-0.223621134059719,-0.0472154851073302,-0.0536508297738081,-0.0905768607812477,0.264596363520157,-0.0521582739924251,-0.116432296853392,0.00123169934090956,0.0413320260114157,-0.112049823110476,-0.181069071901208,0.157254440100094,-0.115056225443164,-0.176308710869801,0.0168733784577711,0.0236437504820487,-0.0643021237895312,0.0482912749108155,0.00914162370336239,0.0422698094372239,-0.225505232791915,0.0269212888117785,-0.189971909904186,0.308032254822729,0.0785473881059992,-0.0440402331165535,-0.130604768836939,0.120575356177387
"pancreas",0.287977541799238,0.513337359319513,-0.0288341537449596,0.196344923306725,0.169165201653989,0.371028250270041,0.0100160059341828,-0.0800550196680965,0,-0.11817808405221,0.16707811065401,0.413704828171364,0.290405229633029,-0.497507366146764,0.390554773971255,-0.00406223943046529,-0.289018578351944,0.134816367821585,-0.0997668876275197,-0.0682967115982414,0.311210774947913,0.260901676659767,0.370425974359511,-0.175416001376318,0.448571975438888,0.161144584910634,-0.193475900347819,0.398502360162065,0.110707873932057,0.504255809096338,0.318796295427499,0.370340353661668,0.101913298732325,0.408726231424752,0.651007465625594,-0.00522706577580282,-0.185585128576361,0.390478850300615,0.0398487533802401,-0.140945529445272,0.598777289243636,0.222410231642698,-0.147659382804937,-0.29529988394118
"peritoneum..omentum.and.mesentery",-0.0887386711634031,0.00846447078517911,-0.162394158211029,-0.15691071441699,0.322950742751897,0.0917068830930912,0.261616623345812,-0.226290917884429,-0.11817808405221,0,-0.146540429105626,0.0618658008062297,0.147870507074233,-0.111819009282887,-0.0885061247380989,-0.0750524073568929,0.294316380486432,0.0501715533400749,0.126078207684336,0.220738701950899,-0.122175268834872,-0.109863989981081,0.24928987879173,0.292926872811237,0.188812323706574,0.00883092307801137,0.144564489823179,0.140995373784687,0.0902288366655372,-0.0583388500632367,-0.0611103338336678,0.000953368976215995,0.116932274340087,0.0445362042616518,0.0172202769105168,-0.252712616154554,-0.0133251330598064,0.0638802747619638,-0.110370161545957,-0.210549007378764,-0.0155262511438375,-0.123145609993206,0.160374070326312,0.104444071871079
