"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus..nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"breast",0,-0.0161584316591842,-0.085398877922941,0.131332684528978,0.130027547256205,0.142518091460376,0.2351902921709,0.170529081640561,0.0259964521980023,-0.248251892179476,0.0704054487106485,-0.15073094620307,-0.148929868333406,-0.192358595908254,0.059317903966288,0.0898001829833798,-0.199050261322398,0.485626454484487,0.0756049841990756,0.0754961993820046,0.127642007734066,0.0153363188550533,-0.195242088382456,0.0132385947997359,0.137759507635642,0.0919813342698377,-0.361207787539699,0.288373737651477,-0.255004166877809,0.0303494821514547,-0.000205644303793092,-0.116670656180078,0.0609532575855436,-0.265342573030947,-0.00274972964258569,-0.0411171891440499,0.0169019039144957,0.127687844655481,-0.363256034116586,0.169013633746712,0.00345003419837556,0.075342882311408,-0.0876316909753406,0.256193610851342
"colon.and.rectum",-0.0161584316591842,0,0.2875947059649,0.142303667380261,0.344768493121749,0.356142429694537,0.236581585289931,0.17929869315377,0.708628505361713,0.183956602023255,-0.103991914598475,0.686404283780504,0.641654967967556,-0.473688535249053,0.868012906418396,-0.0719689375813683,-0.584894239235013,-0.234767696390175,-0.043185227633918,-0.103064849743214,0.634627328876536,0.496073634376081,0.532237895752467,0.254677791828886,0.666426745642397,-0.039329694110321,-0.18278454311938,0.203455603785602,0.274657890815318,0.740092618734171,0.323684942892207,0.708701404595261,-0.262261374910761,0.606063348819803,0.896317466271359,-0.252047021333933,-0.54755267779197,0.0799269516822541,-0.24765330552574,-0.296526245498115,0.869901761232336,-0.224524272704083,-0.0394474139350021,-0.403654883578131
"anus..anal.canal.and.anorectum",-0.085398877922941,0.2875947059649,0,0.188333486990221,0.320932198032302,0.104789509855082,0.070775158620479,0.118909450921669,0.212439384043216,0.382538182438028,-0.0506111267339702,0.302444457675486,0.370264926791069,-0.500556915629639,0.191064139619963,-0.462554565582875,-0.0712304359369968,-0.0991452593417856,-0.0702282937834066,0.391632784270611,0.340419829891822,0.327212573724369,0.62287645286894,0.521389987260373,0.442122128943021,-0.277840013773341,0.330099538205685,0.605550008739721,-0.0149907066076251,0.486173024539111,0.187809790530223,0.332296871979563,0.258424509838207,0.310232371676348,0.466323863112883,-0.267556490480247,-0.544127691073786,0.396992051795875,-0.222403200751599,-0.316423363767827,0.451711663325927,-0.129001726855478,-0.110614326082287,-0.39289150475411
"esophagus",0.131332684528978,0.142303667380261,0.188333486990221,0,0.443079261606029,0.158839407279413,-0.218042101299042,0.350470062913855,0.0651843784640107,0.0422784491208638,0.300071058578559,0.102226426712986,0.0257773675254437,-0.111928778181798,0.124474532280051,-0.086646212902988,-0.157166335231419,-0.0954166174778595,-0.157250610792381,-0.142678220819125,0.148496586914419,0.16612875666335,0.0135400541234828,0.136817475494598,0.165483512945943,0.0593336367835931,-0.144104672480471,0.0612299376047408,-0.0484874840204773,0.0932357607624948,0.277725470880773,0.0893301483900831,-0.377888714216213,0.000636986653983715,0.167118861510362,0.119435813511643,0.049513853076178,-0.0461145514913937,-0.0271927556383046,0.0968391977584582,0.0737050321505135,0.161168817191143,0.203199524777376,-0.223125618805976
"gallbladder",0.130027547256205,0.344768493121749,0.320932198032302,0.443079261606029,0,0.124286072613644,0.190079071700032,0.111901364242451,0.289541281630561,0.399019374109623,0.264881753351638,0.240625271246131,0.306337589781717,-0.360712356517103,0.299140513379875,-0.10339811466286,-0.0297205329538741,0.0803562867209014,-0.0872295592621268,0.141613272607752,0.162879663592602,0.321973294539304,0.388270775362159,0.241334732534123,0.462049569211258,0.0952500439749391,0.0826294795373234,0.205299769536545,0.131856539142409,0.253821312286276,0.326179028078185,0.334435314200319,-0.162059549414795,0.268262552821115,0.422812709174089,-0.210653687063838,-0.277655103084129,0.158125451432072,-0.214332666335339,-0.277972344318579,0.429622790234276,-0.25575217978498,-0.0261940676769024,-0.235266061379218
"liver.and.intrahepatic.bile.duct",0.142518091460376,0.356142429694537,0.104789509855082,0.158839407279413,0.124286072613644,0,-0.0991388502882227,0.10879468184888,0.190044075959886,0.166468884922837,0.0605227189005574,0.188149081231267,0.404595833204562,0.117903656431686,0.43984813265957,-0.0561600843446331,-0.279884829508115,-0.148368993479946,0.11537107128717,-0.127900159544873,0.186477163841958,0.175990047308541,0.15027572345144,0.0348933424173358,0.160306299530722,0.189078819171876,-0.167657931045741,-0.0893764379871228,-0.19908680310963,0.176804129321004,0.264201308340704,0.144282521284032,-0.318231850678485,0.326484181682069,0.359166318332419,0.280741166467994,-0.17574039915348,0.067515299576182,0.210185940896274,0.0882439693029993,0.361455907210176,-0.281560600766304,-0.16765606220478,0.0281112363171003
"other.biliary",0.2351902921709,0.236581585289931,0.070775158620479,-0.218042101299042,0.190079071700032,-0.0991388502882227,0,0.000846011772906869,0.207852466117893,0.131221541906367,-0.050042615829532,0.187705029063427,0.195579819635923,-0.425948279241446,0.182843957427929,-0.194450273121642,-0.0323473168154141,0.0393361931118237,0.401798437292644,0.204688385074864,0.14068308450214,0.267733202865396,0.370147368630773,0.143407271605438,0.322348283385032,-0.00724662977983561,0.116677711578005,0.385366357510554,0.0827256576480359,0.301106150961151,-0.0471062938913077,0.25477605945554,0.241225583037951,0.236377016700381,0.284873284387878,-0.115814861564536,-0.282271816300698,0.15844744147893,-0.367822499361863,-0.227805907163285,0.262715084852754,0.0109365886139285,-0.435011986465382,-0.138776325835581
"other.digestive.organs",0.170529081640561,0.17929869315377,0.118909450921669,0.350470062913855,0.111901364242451,0.10879468184888,0.000846011772906869,0,0.1683980465379,-0.146342842061737,-0.119509841071916,0.0271499860744912,0.0426669143244173,-0.175352641590186,0.141941665620744,-0.0736858546152067,-0.269446770825818,0.238203465543975,-0.144244823047225,-0.147312851427177,0.340370842387832,-0.017707089115597,0.0853737952330115,-0.0710776221361495,0.208215767323533,-0.17164571426949,-0.244208581465164,0.218538025732529,-0.0263121079226466,0.0422648697866272,0.0544233170350925,-0.0686510676298384,-0.153798371488901,-0.0581175144965856,0.152214643178129,-0.059312500724496,-0.112392647898858,0.233859610075356,-0.373034590745267,0.0628484706022936,0.158506443761209,0.130992993677036,0.197407488538751,0.0575579128800302
"pancreas",0.0259964521980023,0.708628505361713,0.212439384043216,0.0651843784640107,0.289541281630561,0.190044075959886,0.207852466117893,0.1683980465379,0,-0.0383426695527561,0.0271622431216,0.550181043145168,0.474765822213604,-0.394917841665227,0.684148042206913,-0.164280921630271,-0.459656632795961,-0.0933120818143022,-0.122142143380887,-0.0136907769086185,0.507270250096758,0.496584048773234,0.331015721527776,-0.012358621243943,0.486073843873813,0.0762159983250438,-0.25408416288385,0.199591958784461,0.173196785962785,0.526184692280382,0.321484838845183,0.630122283434105,-0.143839236696672,0.55035723894672,0.681421930418802,-0.107919714997833,-0.415322065530251,0.282791225819368,-0.0550236960982837,-0.348566126243906,0.679860700029964,-0.0933242416068599,-0.200476445167196,-0.337447717120142
"peritoneum..omentum.and.mesentery",-0.248251892179476,0.183956602023255,0.382538182438028,0.0422784491208638,0.399019374109623,0.166468884922837,0.131221541906367,-0.146342842061737,-0.0383426695527561,0,0.23372231009938,0.421395487418943,0.390169845409545,-0.384268401057256,0.0570281725490371,-0.308249567894351,0.178350529582054,-0.223379650416024,0.211996452322519,0.462075171948719,-0.0102415883163191,0.177749550861777,0.652256008806492,0.514624436145559,0.286299320480922,-0.0714069762797681,0.500687801956708,0.391594141065654,0.108335125689444,0.137981049559392,0.00619365761821757,0.249434564202199,0.145186091912397,0.193397785911666,0.299296284244818,-0.191004567908573,-0.412826585257154,-0.0103208305694273,-0.0466388619467075,-0.368342519069143,0.28571593101047,-0.408519422939746,0.0888512886227121,-0.356022956942704
