"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus..nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"retroperitoneum",0.210643833350833,0.16999521217974,0.0317207011464636,0.0268577227896416,0.342799358197707,0.0855370333193833,0.0909578122636684,-0.114024125901315,0.195123116457501,-0.0766794344264836,0,0.362371059373799,-0.131963792564394,-0.344142615385311,0.229326990227439,0.0447336497395347,-0.311517404841248,-0.0441613275575746,0.0606346070739182,0.105937038425611,0.0818942136151161,0.0146296641650809,0.168496691445631,0.220816670729364,0.262507859629338,-0.0362013508225528,-0.164125860317775,0.290403526853576,-0.109543433082588,0.295964935812257,0.240840416404907,0.0909495576808242,0.0407459484005123,0.0415877794747175,0.326249264131426,-0.330623637166882,-0.0830028024330214,0.231027400959371,0.0665854133838175,-0.132589968984376,0.295583226844044,0.0037909900030516,-0.0312802480191375,-0.312332966932311
"small.intestine",-0.0225581813922724,0.504259967129746,0.134680642722417,-0.111171928991099,0.210053758288025,0.205259730671101,0.189157473300166,0.131348606456398,0.252206481727988,0.24942626177926,0.362371059373799,0,0.291163670732351,-0.475485149172341,0.487080584586214,-0.244819506130176,-0.192029496374686,-0.345558979407116,-0.167922185790522,0.190078161566541,0.129400248428664,0.166716818904201,0.433581714240742,0.313708361512958,0.357155237952742,0.0058898677707095,0.111033885641589,0.474728540238733,0.0192207047288823,0.434345553660126,0.343847845998132,0.369191294668044,0.112555794662779,0.370279949998008,0.556336998012199,-0.321283715554034,-0.381962529923122,0.224533257715477,0.0677576209734053,-0.223819224220278,0.609771058651301,-0.0876430331181443,-0.067044445307815,-0.340936515570193
"stomach",0.118898275469686,0.414683416480709,0.115953385910071,-0.17229243928317,0.347102329673383,0.269505750799249,0.0880284324502384,0.151133337233189,0.263671440470243,0.154260631691196,-0.131963792564394,0.291163670732351,0,-0.316398539989299,0.617113452315832,-0.100976627085519,-0.507267485811268,-0.227775162322229,-0.0349796822480671,0.0816860676286022,0.254271722196627,0.370045364447458,0.36275520441397,0.05258898858726,0.37845683667571,0.185895200413177,-0.121041285836046,0.332635006429975,-0.0908833468084453,0.515873062491541,0.37050654599432,0.466520483632741,-0.103210809355361,0.449016921793781,0.553197570051493,-0.101382970222847,-0.493908122313082,-0.14346966256971,0.065693269747646,-0.281680906572602,0.602600433126819,-0.0750256722449277,-0.00551475244181747,-0.0969281347907888
"cervix.uteri",-0.358663415509877,-0.501839182003193,-0.424505181157778,0.0178979766052556,-0.443208579549293,0.0262955003536952,-0.350230897951528,-0.123182455000879,-0.367869903690219,-0.298129989740438,-0.344142615385311,-0.475485149172341,-0.316398539989299,0,-0.45334138846103,0.308865268466184,0.422947871066329,0.111606367647831,0.0121860546561102,-0.472562213029384,-0.511905151647789,-0.43821916908496,-0.717257255321014,-0.481345622027796,-0.742574243439061,-0.0803212657228173,-0.0741773720835599,-0.93193068615076,-0.0513440385263477,-0.741518478932309,-0.340076485718187,-0.537678584848851,-0.335764291570695,-0.176382973446499,-0.766365994644944,0.6867559213523,0.702763454506345,-0.237392552019641,0.267707643648454,0.496577477345713,-0.745551552616538,0.100575681146367,0.0608423694435821,0.42038671157391
"corpus.and.uterus..nos",0.221852325813668,0.799152221296527,0.0690092407182573,-0.106746010641343,0.427336492524483,0.364347055543781,0.0793883675914938,0.137253110280753,0.610274891415429,0.00153801963016108,0.229326990227439,0.487080584586214,0.617113452315832,-0.45334138846103,0,0.0183106803227755,-0.690776170962358,-0.324787271734073,-0.233392712241282,-0.0131865291124847,0.556900637932748,0.454414663999332,0.417822131990967,0.128359057713741,0.581178924024121,0.211250414091237,-0.297007502736515,0.416032814860276,0.20549918046465,0.708832410901178,0.49706937259953,0.656531490996146,-0.189688991487094,0.460346316882479,0.829985915277552,-0.245613496892595,-0.481064312274801,0.101323151284943,-0.0225802454500433,-0.241275412967228,0.799956171802477,-0.0528201560320344,-0.106785991644055,-0.226741667259654
"other.female.genital.organs",0.0487894106219475,-0.00892011600423267,-0.398407402328617,-0.0282632568883664,-0.0232348702547623,-0.02095897108785,-0.153744097317824,-0.0248324397499651,-0.0423136884981096,-0.221048615174816,0.0447336497395347,-0.244819506130176,-0.100976627085519,0.308865268466184,0.0183106803227755,0,-0.144169610065931,0.0297626281696753,-0.117287976130564,-0.32459789827569,-0.183509984939609,-0.0581499381083478,-0.234205490391439,0.0364827338439942,-0.243021705908461,-0.194743664079248,-0.268826702406258,-0.376833338121012,-0.0346666425613484,-0.211848653209359,-0.278394716469985,-0.0436640952500681,-0.337367437591027,-0.171106113128202,-0.211148528501483,0.0741323318440467,0.270168973505899,-0.0752835789781932,-0.0756808350570134,0.127052504203684,-0.180061323077609,-0.15851787015895,0.334222043347348,0.253781860334337
"ovary",-0.304401277722718,-0.545362483946425,0.008593991790912,0.08869722685368,-0.287718348220683,-0.271429042324741,0.0299770181221442,-0.228776610324089,-0.453543464871271,0.270321271441771,-0.311517404841248,-0.192029496374686,-0.507267485811268,0.422947871066329,-0.690776170962358,-0.144169610065931,0,0.168873525529736,0.211861095792278,0.0999144722613385,-0.644950568127342,-0.303672615426344,-0.176987828958715,-0.0208276484226251,-0.550511093283627,0.00644006815747029,0.564962773345635,-0.405660881968297,-0.0497183759834524,-0.666438959331886,-0.347305512559049,-0.470234428266116,0.160953734764888,-0.186136447819848,-0.624470341823246,0.363258984780108,0.403166811765256,-0.0456656039111258,0.065028430498786,0.175579411130588,-0.596478529930562,-0.025123626986073,0.017522382960551,0.263848422218774
"vagina",0.332958594791516,-0.20731797434379,-0.0109269889773335,0.152561098190147,0.067762503305977,-0.148815943565111,-0.0614770076272956,0.0174427066445835,-0.0638298046259743,-0.0132801583902989,-0.0441613275575746,-0.345558979407116,-0.227775162322229,0.111606367647831,-0.324787271734073,0.0297626281696753,0.168873525529736,0,0.0361931273033507,-0.183103848209097,0.0852741907975812,-0.411391097702413,-0.211238334300627,-0.104534353082958,-0.262691496194055,-0.121290082479319,-0.170731051936548,-0.137978551722279,-0.128549090718814,-0.246372019316172,-0.278110036028739,-0.322776892133729,0.322315538439046,-0.427093258690784,-0.304885034544551,0.0683272960727625,0.0589337713618365,-0.0684284241259136,-0.141071456658846,0.168670266707302,-0.249426630020808,-0.0775217856649083,-0.00599070799791854,0.217416659268223
"vulva",0.0114005078689443,-0.211698226753697,-0.0945561613649827,-0.0971197575210164,-0.117224541646434,-0.175665801459299,0.240568569595485,-0.21900308488302,-0.156027842280292,0.356097892139726,0.0606346070739182,-0.167922185790522,-0.0349796822480671,0.0121860546561102,-0.233392712241282,-0.117287976130564,0.211861095792278,0.0361931273033507,0,0.142380516715354,-0.235807677609144,0.00541610476905116,0.109369756392083,-0.0684296703045695,-0.10429543283732,0.0941249329531185,0.243076860103015,0.0381430500454967,-0.0725901600930204,-0.181395891056432,-0.322457167579603,-0.138299770063105,0.276234764811675,-0.175572022396683,-0.113102121066596,0.0624124909446075,-0.00514169698351626,-0.135331933483732,0.0440073259156142,0.11079134655132,-0.118637352108174,0.115573891560032,-0.0395351502823355,0.158573300651735
"hodgkin.lymphoma",0.0186990337608269,0.0735269100110863,0.489753450665543,-0.0387826753193336,0.256198245003116,-0.217244974429067,0.319917621926548,-0.0759874473773397,0.0851585053333563,0.446884294458537,0.105937038425611,0.190078161566541,0.0816860676286022,-0.472562213029384,-0.0131865291124847,-0.32459789827569,0.0999144722613385,-0.183103848209097,0.142380516715354,0,-0.0439119889414469,-0.0940586180572014,0.378656354260553,0.368598017270267,0.305631867581521,-0.0278376230112601,0.507292601790719,0.531467141235811,-0.0928590981863528,0.204375848246742,0.278423160561973,0.122239441793306,0.326977565484199,0.154929125952394,0.195405564041912,-0.323842083917976,-0.309741437469099,0.246773935119544,0.0276742148927886,-0.274095766090497,0.226676433380213,-0.204294656166474,-0.0795185212976708,-0.028504131943857
"leukemia",0.3310078763913,0.593555613407888,0.093282017212326,0.00350949139485242,0.206660883798117,0.200724514926105,0.0254412980827494,0.229010823133952,0.541799985836284,-0.108647368282947,0.0818942136151161,0.129400248428664,0.254271722196627,-0.511905151647789,0.556900637932748,-0.183509984939609,-0.644950568127342,0.0852741907975812,-0.235807677609144,-0.0439119889414469,0,0.340679660567409,0.404934271451357,0.156154709757969,0.56180457434085,0.0730526290268296,-0.359218234947764,0.538237003665719,0.145679460360267,0.591545011970775,0.333470229992782,0.394622683133044,0.124687302352537,0.152619564900283,0.650168777372727,-0.251829724073849,-0.53345715544993,0.077990536421561,-0.197251226721727,-0.284592186220307,0.587087620333065,-0.0526300179498064,-0.108963942821284,-0.400901951505456
"myeloma",0.213091333255114,0.379668048363842,0.137734010969654,-0.0861674583566571,0.269226120026204,0.219196281793224,0.124888388430588,0.0618919827860291,0.325989517746879,-0.00111785847375114,0.0146296641650809,0.166716818904201,0.370045364447458,-0.43821916908496,0.454414663999332,-0.0581499381083478,-0.303672615426344,-0.411391097702413,0.00541610476905116,-0.0940586180572014,0.340679660567409,0,0.526929101989335,0.183794150667866,0.503424961173309,0.24011035065584,-0.0489313539362514,0.403305420552919,0.262904419865281,0.477224549841476,0.102098363560728,0.606773961100683,-0.0932332710013823,0.251172455227056,0.59719667425,-0.160724637913013,-0.536162895886315,0.13558345184141,-0.145948242028374,-0.364224359635135,0.524878546304253,0.0143197885868408,-0.11801311619588,-0.362944614016716
"non.hodgkin.lymphoma",0.0618386786347618,0.461146757451687,0.39370011091908,-0.0597534831385129,0.343185384280771,0.0660939728074871,0.233907277075296,0.0109883120227215,0.206421819839975,0.457933661362634,0.168496691445631,0.433581714240742,0.36275520441397,-0.717257255321014,0.417822131990967,-0.234205490391439,-0.176987828958715,-0.211238334300627,0.109369756392083,0.378656354260553,0.404934271451357,0.526929101989335,0,0.647330742365599,0.590571545083668,0.127857510057423,0.280787870425758,0.73677106730555,0.136848444829381,0.594260781813658,0.203899094807557,0.44704223498543,0.311171465494383,0.223189528691665,0.719421765548712,-0.343369651088246,-0.65120239512205,0.171908989240362,-0.176498979671761,-0.560525014063177,0.715868561165807,-0.28963360294013,-0.038444554277702,-0.524975790373166
"bones.and.joints",0.128188812792038,0.210625385160672,0.220685695358939,0.0407591692161419,0.174219665366071,0.0563333389436514,0.0367742701834308,-0.0433273934448657,0.0448784045980957,0.291604671115699,0.220816670729364,0.313708361512958,0.05258898858726,-0.481345622027796,0.128359057713741,0.0364827338439942,-0.0208276484226251,-0.104534353082958,-0.0684296703045695,0.368598017270267,0.156154709757969,0.183794150667866,0.647330742365599,0,0.31700230800784,-0.0749878542292595,0.270021051631575,0.533595876765831,-0.0668290581296998,0.25814782409061,0.0807647847269133,0.0820258585691946,0.279007286534347,-0.0571217776802206,0.363547756642247,-0.282137082498339,-0.34207509824541,0.177287587466932,-0.177111385266447,-0.158110788501014,0.342706408101357,-0.208483262587988,0.0741560497407022,-0.290978684898277
"brain.and.other.nervous.system",0.274058607169328,0.582107779984528,0.331402788126891,0.00509823046555009,0.601323564411777,0.196308269547714,0.286440723386262,0.103318580819902,0.376191993371373,0.165220743451348,0.262507859629338,0.357155237952742,0.37845683667571,-0.742574243439061,0.581178924024121,-0.243021705908461,-0.550511093283627,-0.262691496194055,-0.10429543283732,0.305631867581521,0.56180457434085,0.503424961173309,0.590571545083668,0.31700230800784,0,0.0785470550288472,-0.0633909044152383,0.70836768059112,0.229073004720928,0.705023718428049,0.490987320760197,0.564339979623364,0.143398731476171,0.260613276116321,0.76704853526518,-0.503666718519178,-0.626322681542963,0.275488282405712,-0.233070159070089,-0.312166360074219,0.692223926920767,-0.188770224316554,-0.150788035818824,-0.431051634954523
"eye.and.orbit",0.0661140934463189,0.0759831458011108,-0.121868434530226,-0.0831764930841931,0.10662551165205,-0.0862270137749659,0.0338829418777284,-0.0973634794580026,0.165075629874187,-0.0929369251305752,-0.0362013508225528,0.0058898677707095,0.185895200413177,-0.0803212657228173,0.211250414091237,-0.194743664079248,0.00644006815747029,-0.121290082479319,0.0941249329531185,-0.0278376230112601,0.0730526290268296,0.24011035065584,0.127857510057423,-0.0749878542292595,0.0785470550288472,0,0.125819028484243,-0.0067702174061828,0.269731773405187,0.107328530950094,0.099677992456618,0.246109714220456,0.0734275712269715,0.171058972743433,0.247091040707523,0.0521076389605145,-0.135145056133464,-0.221065193252358,0.00797320386409182,0.030890809478872,0.192732125437951,-0.133066916080361,-0.0555568090795491,-0.160398967871555
"kaposi.sarcoma.",-0.263220856948156,-0.137485119275687,0.319284329468638,-0.199246029670517,0.00338411587295245,-0.327244763383072,0.220581111009133,-0.194906807598409,-0.183148156500431,0.394782887784639,-0.164125860317775,0.111033885641589,-0.121041285836046,-0.0741773720835599,-0.297007502736515,-0.268826702406258,0.564962773345635,-0.170731051936548,0.243076860103015,0.507292601790719,-0.359218234947764,-0.0489313539362514,0.280787870425758,0.270021051631575,-0.0633909044152383,0.125819028484243,0,0.132600661951333,0.1565679238245,-0.0816730163366934,-0.102510997369683,-0.146651909020922,0.256104148296977,0.0673865371838478,-0.0936769230729029,-0.0181212336483958,-0.0651671078985016,0.136918195633874,-0.0806984349982596,-0.110763136880955,-0.0655777803666526,-0.225036065691501,-0.0805163559226365,-0.0401625257744029
"melanoma.of.the.skin",0.34328613081953,0.495660226821659,0.525191311732182,-0.0122535610594089,0.4022215957477,0.102361915209554,0.334261213880066,0.210877263401482,0.365884990219987,0.289498058854947,0.290403526853576,0.474728540238733,0.332635006429975,-0.93193068615076,0.416032814860276,-0.376833338121012,-0.405660881968297,-0.137978551722279,0.0381430500454967,0.531467141235811,0.538237003665719,0.403305420552919,0.73677106730555,0.533595876765831,0.70836768059112,-0.0067702174061828,0.132600661951333,0,-0.0132643891295596,0.691927862862448,0.335765872417846,0.459926045312234,0.369291145708174,0.218374135363209,0.756844159042082,-0.577069653134746,-0.737979734122866,0.324162319704951,-0.250716772041582,-0.449493607213151,0.746167512104067,-0.0918969905731489,-0.110652866907491,-0.402740540336627
"mesothelioma.",-0.108064995723029,0.261875087650216,0.0959717978962343,0.0992782281597144,0.201859928075914,-0.168191505085906,-0.00996891480870228,-0.0105892428476667,0.137323933299375,0.093087497224161,-0.109543433082588,0.0192207047288823,-0.0908833468084453,-0.0513440385263477,0.20549918046465,-0.0346666425613484,-0.0497183759834524,-0.128549090718814,-0.0725901600930204,-0.0928590981863528,0.145679460360267,0.262904419865281,0.136848444829381,-0.0668290581296998,0.229073004720928,0.269731773405187,0.1565679238245,-0.0132643891295596,0,0.158042506729849,0.00144204874395481,0.364879644599268,-0.219490304733912,-0.0814891742010282,0.211389052923931,-0.0607598372184485,-0.0727287407767249,-0.154956806025453,-0.182793657801933,-0.119425562229408,0.139936753984349,-0.0588031045845687,0.0938753099724155,-0.340871252640571
"miscellaneous",0.281633814362301,0.673058243962968,0.388643001427831,-0.0372068053242769,0.450688410046988,0.212110117357537,0.191621971315093,0.0112086774705144,0.42751810415929,-0.0278076209302847,0.295964935812257,0.434345553660126,0.515873062491541,-0.741518478932309,0.708832410901178,-0.211848653209359,-0.666438959331886,-0.246372019316172,-0.181395891056432,0.204375848246742,0.591545011970775,0.477224549841476,0.594260781813658,0.25814782409061,0.705023718428049,0.107328530950094,-0.0816730163366934,0.691927862862448,0.158042506729849,0,0.455262332157993,0.583892360898608,0.0396831380923723,0.37439288194418,0.837106762522887,-0.523660965370924,-0.67245759421215,0.201176764407855,-0.103573672825028,-0.558012140622878,0.812963506321327,-0.0228051296474016,-0.110077429722343,-0.469056232518672
"oral.cavity.and.pharynx",0.00807315948575617,0.367519043040192,0.218010422504116,0.125107068593768,0.38886246644123,0.188285856856024,0.0379225406852421,0.141413488357583,0.285135047827133,-0.0848417282662783,0.240840416404907,0.343847845998132,0.37050654599432,-0.340076485718187,0.49706937259953,-0.278394716469985,-0.347305512559049,-0.278110036028739,-0.322457167579603,0.278423160561973,0.333470229992782,0.102098363560728,0.203899094807557,0.0807647847269133,0.490987320760197,0.099677992456618,-0.102510997369683,0.335765872417846,0.00144204874395481,0.455262332157993,0,0.390142567356655,-0.123749088896118,0.354418779158739,0.481580572255101,-0.1833443422922,-0.275094834592186,0.120434936534109,0.146235780187581,-0.223786937233571,0.395425419237399,-0.0974552831214504,-0.111076813728049,-0.108287332231937
"other.endocrine.including.thymus",0.117360514798742,0.615108182489027,0.229741871916367,-0.0237132152832528,0.335025800345977,0.0684959906451205,0.174201046929936,0.191989709916529,0.538174980142519,0.0533460292729643,0.0909495576808242,0.369191294668044,0.466520483632741,-0.537678584848851,0.656531490996146,-0.0436640952500681,-0.470234428266116,-0.322776892133729,-0.138299770063105,0.122239441793306,0.394622683133044,0.606773961100683,0.44704223498543,0.0820258585691946,0.564339979623364,0.246109714220456,-0.146651909020922,0.459926045312234,0.364879644599268,0.583892360898608,0.390142567356655,0,-0.0909725079514372,0.3494270428386,0.743781043602645,-0.304446460473324,-0.598703710419271,0.0995710053730367,-0.0859280483179766,-0.386384403652649,0.661657242631605,-0.0317290777570199,-0.0416567117263802,-0.392156116605237
"other.non.epithelial.skin",0.0399682561432941,-0.11226308663976,0.268399611648837,-0.248633548712751,0.0212394964686226,-0.30055274908924,0.227473316592159,-0.267646119999165,-0.0268494818827082,0.161118676155136,0.0407459484005123,0.112555794662779,-0.103210809355361,-0.335764291570695,-0.189688991487094,-0.337367437591027,0.160953734764888,0.322315538439046,0.276234764811675,0.326977565484199,0.124687302352537,-0.0932332710013823,0.311171465494383,0.279007286534347,0.143398731476171,0.0734275712269715,0.256104148296977,0.369291145708174,-0.219490304733912,0.0396831380923723,-0.123749088896118,-0.0909725079514372,0,-0.0680725467067355,0.0725377710749704,-0.276671832730637,-0.306289319227099,0.0782271410201207,-0.0643605173428127,0.0228575535833456,0.113874037088321,-0.118201117277331,-0.23143224981123,-0.169008383713567
"soft.tissue.including.heart",-0.239175275078173,0.467593438704998,0.0459477021853775,-0.249862628218069,0.270277643992209,0.219983977511719,0.165733601565335,-0.02344563682143,0.412684484088976,-0.0784808268979219,0.0415877794747175,0.370279949998008,0.449016921793781,-0.176382973446499,0.460346316882479,-0.171106113128202,-0.186136447819848,-0.427093258690784,-0.175572022396683,0.154929125952394,0.152619564900283,0.251172455227056,0.223189528691665,-0.0571217776802206,0.260613276116321,0.171058972743433,0.0673865371838478,0.218374135363209,-0.0814891742010282,0.37439288194418,0.354418779158739,0.3494270428386,-0.0680725467067355,0,0.451269636643018,-0.0386937790217537,-0.205730298274377,0.0804293796552936,0.00361442964233915,-0.295682350195753,0.478990641533472,0.0415787201446673,-0.311374640687659,-0.203132307720733
