"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"breast",0,0.135486838393279,0.0852084461529399,0.174942448147658,0.106318960226514,0.126779177998666,0.219323383712229,0.162034739680872,-0.250495348136395,0.142975149493241,0.133137059011216,-0.0546705936473933,0.182237028447544,-0.044421398552643,0.0963840741922771,0.330458197942901,0.174559989873712,-0.158320169798585,0.203591084098569,-0.0200712359382575,0.218331192203719,0.155065933790338,-0.118572772443375,-0.218820345157132,0.12878302392617,-0.12117346683004,-0.12236820173106,0.0776297331279509,-0.237716099555982,-0.150472519455079,0.037498912649691,0.0644363873245318,-0.00332373421534957,-0.1191659902637,-0.0630890636771188,-0.160368439928855,0.12087736599707,0.117516269615386,0.0372043376616137,-0.312500997554821,-0.18544618964266,-0.0596682189203093
"colon.and.rectum",0.135486838393279,0,0.194505648790458,0.286961528094838,0.274989698846522,0.0741070280763916,0.266184223648991,0.350404536186083,-0.003195392635305,-0.114088607229296,-0.299442864017651,0.483710003782619,0.168554997681324,-0.236443559565375,0.359738603851989,0.300493840139961,-0.311449206051276,-0.0236400258766684,0.324147642480352,0.538591298640228,0.2819838836693,-0.134953687874243,0.245625207222422,0.0351292625388183,-0.483802590426022,-0.3383295128401,-0.119691709296074,0.421346586429307,-0.221175521627092,0.425881846388328,-0.245521678329679,0.416722012132028,0.741745550200549,-0.430423025841297,-0.497613703020836,0.205506475346107,0.385386068262108,-0.256977675288115,0.748505367386212,-0.138686105728651,-0.463008385335964,-0.650106835946333
"anus..anal.canal.and.anorectum",0.0852084461529399,0.194505648790458,0,0.153550496644486,0.0993379319870141,0.537901976661779,0.219722397002052,0.23411398510604,-0.174711230609442,0.218531873514291,-0.268103093662417,0.369457963933987,-0.114248552815991,-0.117399058264565,0.165571543931398,0.14575450992637,0.333005191170448,-0.112015725771803,-0.237621992626906,0.538461170908701,0.649431204747878,0.344876498041977,0.0862290717610083,0.25030466799344,0.0297825688277448,0.0832861906351357,-0.319208212169586,0.0270206138360393,-0.269985051736464,0.260132936431221,0.1064161458668,0.423623687578631,0.24348618764858,-0.563787575490319,-0.668303117444083,-0.206044383769649,0.40656560840446,-0.070159599910329,0.308280490850081,-0.39138780924643,0.0465645421403553,-0.4366202124707
"esophagus",0.174942448147658,0.286961528094838,0.153550496644486,0,-0.0959160644468641,0.164371823535835,0.288089662637721,0.126925808791298,-0.348291767918793,-0.0887453996008466,0.0774563242325475,0.293271845595987,0.156160014961704,-0.328100379676676,-0.086002503268637,0.204549074518861,0.0258888901729323,-0.218483381706746,0.048954492733452,0.223292499184067,0.239330341697131,0.040097642005811,0.260176416550665,0.0501201880699571,-0.00748854846582126,-0.00314362941080212,-0.403380608926297,0.218741564556361,-0.0872549967922094,0.110559935656086,-0.00463768657441829,0.0869038529941963,0.17576830142027,-0.277175628401856,-0.226787896815576,0.07173888799273,0.285788601360055,-0.132010413566944,0.0978997469326937,-0.126964198509964,-0.208197165082927,-0.188477768648284
"gallbladder",0.106318960226514,0.274989698846522,0.0993379319870141,-0.0959160644468641,0,0.28837050248481,-0.0965956349158169,0.019819430839732,-0.0143691118675657,0.277846089854928,-0.00823414259125925,0.131185380025968,0.0430203845035099,0.0348661465969182,0.109773354179359,0.0636534940388813,0.252278305671037,0.109513908845235,0.142118948760949,0.295703774962083,0.219352527508625,-0.0676387834819319,0.0140216010884723,-0.128846346059121,0.121383855960807,-0.032502355378868,-0.0769017953954536,-0.121226708135525,0.150456691936593,0.0698766725007774,-0.137957259985739,0.237754131705655,0.0816336632549116,-0.405222256678114,-0.292768360397393,0.0471202252859107,0.0877483317987846,-0.106284487344435,0.231090860228229,-0.0507332738101204,-0.202405688513922,-0.273430443976547
"liver.and.intrahepatic.bile.duct",0.126779177998666,0.0741070280763916,0.537901976661779,0.164371823535835,0.28837050248481,0,0.29640880964255,-0.0419874720476347,-0.13516998135899,0.378889779584693,-0.228315017669831,0.384452691967915,-0.0473620132391093,-0.156682883173221,0.237084282393732,-0.0159275440651112,0.565262508222266,-0.342169447875328,-0.23044100283639,0.410859836248392,0.595559734038765,0.244204877381686,0.174249235833789,0.159830934701348,0.321934237380971,0.158317613405831,-0.126539508580115,0.137959780082684,-0.15656087717155,0.216664289433138,0.341775489043476,0.372130516006314,0.239448008679449,-0.680283454500249,-0.676024764159133,-0.126589517226727,0.185684655116161,-0.213253917391756,0.230150300142967,-0.385563747758998,0.012971592681924,-0.155959500536329
"other.biliary",0.219323383712229,0.266184223648991,0.219722397002052,0.288089662637721,-0.0965956349158169,0.29640880964255,0,-0.0578632303450209,-0.18530191793713,0.135643811296509,-0.110878809286841,0.25138170972961,0.0393182632981705,-0.361778148034822,0.100535572957269,0.195706598225824,0.123118123651052,-0.312263785490299,-0.155517131247375,0.280548504683342,0.508410763378032,0.133676453347375,0.130403136616788,0.258946236613944,-0.0182962916607496,-0.000108513120364852,-0.385254434367871,0.154421422606321,-0.342399666570888,0.221210803203578,0.144899825193805,0.339969737034901,0.48721193070564,-0.42599477115555,-0.427657868685003,0.120515517599075,0.255817314339749,-0.320479599793908,0.321573509560485,-0.319176535021773,-0.225731271675324,-0.319144929135156
"other.digestive.organs",0.162034739680872,0.350404536186083,0.23411398510604,0.126925808791298,0.019819430839732,-0.0419874720476347,-0.0578632303450209,0,-0.00511454052168607,-0.0818957973685848,-0.332774193201157,0.199807441076059,0.0731735174302699,-0.140375250482942,0.246629688102128,0.415374812614734,-0.114076471967986,-0.198916513640853,0.208910295166115,0.440123926447865,0.182509551619948,0.163029405525102,0.211825863284892,-0.200514360232071,-0.333071357950625,-0.272687347527146,0.0191668958375129,0.0782724129925654,-0.350734210086463,-0.0234709749003409,-0.197732278597402,0.161394753419963,0.33136251659488,-0.0856258558109493,-0.364540472901227,-0.0548003959399444,0.114294894696906,-0.131492036219594,0.494026001234467,-0.168976349063574,-0.322134039832503,-0.448881357808947
"pancreas",-0.250495348136395,-0.003195392635305,-0.174711230609442,-0.348291767918793,-0.0143691118675657,-0.13516998135899,-0.18530191793713,-0.00511454052168607,0,-0.382529881596043,0.0408515716966773,0.0434804965484237,-0.133759087097161,0.03901145067678,0.345549055889667,-0.226068981606231,-0.270139223172121,-0.0994190620807932,0.0996439128828943,-0.061969185385227,-0.123045206185772,0.135560436016775,-0.0808297853210679,-0.083140941977687,-0.151314127474079,-0.150261190961164,0.368969660363744,0.0630934897644313,0.0833870339049949,-0.00629623997268479,-0.221828287106953,-0.135303486351922,0.13023559785709,0.192212611599663,0.0625657843257856,-0.0964826205412998,-0.0471423443471038,0.122595062226198,0.19850331673,0.350125953211915,0.314990419521754,0.010429340672065
"peritoneum..omentum.and.mesentery",0.142975149493241,-0.114088607229296,0.218531873514291,-0.0887453996008466,0.277846089854928,0.378889779584693,0.135643811296509,-0.0818957973685848,-0.382529881596043,0,-0.0983893463254697,-0.0528241584284963,0.089569872309759,0.341088871644205,-0.116899281166277,0.0121425927374083,0.581048334331634,-0.245911255640615,-0.179484012857645,-0.00406706636697002,0.29325128540589,0.361921494779643,0.0851434680021603,-0.0466681874041538,0.475603844971489,0.30022838114344,0.0834607520894935,-0.0420687056952922,-0.0157782837889671,-0.129940967127806,0.199230073956706,0.179294396092192,-0.160971777963233,-0.271687038814628,-0.181628985029396,-0.0643086860160521,-0.12909824827707,-0.112828210987865,-0.103354958242453,-0.268291744727394,-0.1149088258695,0.0397903546713447
