"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"breast",0,0.135933797729657,0.156480226344651,0.257092152103492,0.0622229841346517,0.260670196576717,0.322026053727561,0.176261562338023,-0.179243581219803,0.176825136392503,0.109262927573052,-0.0225475765864713,0.101832407749866,-0.263729958400619,0.0489249125484545,0.306819582562938,0.174353200606471,-0.152943127046494,0.103044376061893,0.166088644793725,0.291340207915026,0.171010271787842,0.145265034794039,-0.355776281484848,0.145586873767241,0.0220471059802659,-0.33453857366337,0.0832534867685568,-0.197524540866652,-0.00915815678768404,0.246842492238242,0.135468632522058,0.0324515793607811,-0.235172386346008,-0.182079732445237,-0.0813183154246636,0.107329975863482,-0.123670123805275,0.106098330002276,-0.418206978390761,-0.164191988509137,-0.248119677585044
"colon.and.rectum",0.135933797729657,0,0.246490745149291,0.305606866398654,0.397601235793943,0.310823587822776,0.395974531988043,0.355619759645755,0.147420834092816,-0.0872019368584183,-0.390701115045874,0.577323783276954,0.278177983066819,-0.477931855192168,0.666998336945501,0.449438572231981,-0.260339888082511,0.0578264880950956,0.32637647232911,0.651780082838686,0.477888094429849,-0.152391985482498,0.524572962667779,-0.0560257941542941,-0.481168911614231,-0.40943120085826,-0.0488435302007029,0.617009343753245,-0.247199521476514,0.614820238037977,-0.177302515652752,0.594961653598904,0.887156442112717,-0.578802006505182,-0.565453183671123,0.386907446307484,0.28864022684875,-0.156248373088134,0.866343774349764,-0.233627902478845,-0.38538955074124,-0.731182261971765
"anus..anal.canal.and.anorectum",0.156480226344651,0.246490745149291,0,0.283041307686273,0.25773045143123,0.636512765026141,0.25070868350719,0.287647159450199,-0.18078642533507,0.293381388391574,-0.194166702000527,0.318148134345265,0.160446480548654,-0.249505384067868,0.239923962388809,0.422245341820188,0.487914306972066,-0.0380845702713997,-0.148075117496904,0.5193001408021,0.659552577436483,0.154901703928997,0.270230186888769,-0.12283636816606,0.160192455907444,0.116677337736898,-0.303495729010419,0.0713811407541165,-0.364551662127936,0.212363798492601,0.40171681444369,0.418038586573959,0.139529674940413,-0.595336623366843,-0.703841499518183,0.0749683224968402,0.0611610176341151,0.103460474984793,0.276922624630989,-0.369943494366682,0.021452972078882,-0.538909700359305
"esophagus",0.257092152103492,0.305606866398654,0.283041307686273,0,-0.00755805423972995,0.285736486996497,0.299324730970417,0.263309153541225,-0.208337707432249,-0.130350963928707,-0.225523059188433,0.309817823812623,0.43260683841764,-0.417533181068065,0.294582179430529,0.503629489955341,0.0796487485896426,-0.247529558779132,-0.0418035695144197,0.375595760349842,0.313884622311747,0.0385265720811119,0.346935539582382,-0.130223012179521,-0.0397319551982355,-0.0991083871742901,-0.308582974234171,0.27599511184038,-0.310885865211245,0.378105283397699,0.0758112469378823,0.170177676757476,0.246732167327338,-0.437705488660067,-0.39828842375707,0.251563260936394,-0.0942572381013772,0.0992114493266369,0.234510306990287,-0.111785223881359,-0.253316386394428,-0.338263674977994
"gallbladder",0.0622229841346517,0.397601235793943,0.25773045143123,-0.00755805423972995,0,0.382334700778525,0.0903809770574335,0.0508162657241233,-0.113426547428739,0.298987441299847,-0.0562292885792718,0.220027668520385,0.235484132086246,-0.0631900876913806,0.241283340898829,0.108478771675275,0.168389773059557,0.223318419502471,0.307202384113026,0.385702154506821,0.381336596388631,-0.232982412900921,0.183246774841649,-0.155966985953095,-0.00987951300817695,-0.213725939933205,-0.200945354940651,0.104033162358697,0.0656388332213271,0.0390691213450601,-0.155699439131033,0.415929153827148,0.2019477140601,-0.546102417303381,-0.410536859644434,0.149612096579972,0.109342225912413,0.0493610258312087,0.289710100093499,-0.216406193262243,-0.299642143608582,-0.402127076505089
"liver.and.intrahepatic.bile.duct",0.260670196576717,0.310823587822776,0.636512765026141,0.285736486996497,0.382334700778525,0,0.34217745589594,0.159065868692935,-0.149237029426936,0.34530474050407,-0.268085319340775,0.355401429819037,0.131153865718227,-0.378333654005658,0.443183197871721,0.263559333546023,0.504000049333008,-0.171203457476609,-0.0336659357273704,0.528426265115148,0.671209615335269,0.179315072786324,0.438120036768242,-0.272130301484309,0.24016717476807,0.000712039411059557,-0.254992805544576,0.25810309026722,-0.343207609138786,0.326432232926859,0.403370218954282,0.475234940025082,0.284636181331191,-0.666642121588369,-0.771759049793497,0.0947808884548896,-0.0400506077170544,-0.0495483375409092,0.38142280728237,-0.421058883516639,-0.172175502926835,-0.48523757162144
"other.biliary",0.322026053727561,0.395974531988043,0.25070868350719,0.299324730970417,0.0903809770574335,0.34217745589594,0,-0.0288193942871911,-0.127896332640717,-0.0463064130136712,-0.210631546231534,0.23644642526659,0.116009376202863,-0.487790742316438,0.431017820820895,0.361275542404459,0.014772729044705,0.00592023765467845,0.134969205774012,0.383930259365451,0.504269709131367,-0.00828814306190711,0.278355236440325,0.0806477002562397,-0.127391534499185,-0.155794908890137,-0.45052235921551,0.193657417934028,-0.420623729105016,0.323032305299123,0.115648491889492,0.441782696797362,0.473884456849491,-0.396163855126417,-0.525254639575261,0.172792150153331,0.253477329699997,-0.278876675084767,0.464728018324221,-0.272206662437744,-0.258480777003916,-0.397702522581788
"other.digestive.organs",0.176261562338023,0.355619759645755,0.287647159450199,0.263309153541225,0.0508162657241233,0.159065868692935,-0.0288193942871911,0,0.0984792097618548,0.0150374225878623,-0.272532180027736,0.359380754417528,0.121172082004736,-0.259864287416626,0.257488325383895,0.511345517631124,-0.0524417540530697,-0.110746676920286,0.0998493761356293,0.49465333031487,0.227432607362884,0.221354727188149,0.281983624078601,-0.392558239331437,-0.296349317906226,-0.257461715045582,-0.0248565231728361,0.208398450414913,-0.315055418116473,0.195193380882481,-0.154704223728846,0.17685736326015,0.325261755271606,-0.311251475175001,-0.386362706367583,0.235148384501219,-0.0414363399155988,-0.0301733316762582,0.466322275645291,-0.246311134857657,-0.228378644164886,-0.436091244354552
"pancreas",-0.179243581219803,0.147420834092816,-0.18078642533507,-0.208337707432249,-0.113426547428739,-0.149237029426936,-0.127896332640717,0.0984792097618548,0,-0.235517703327965,0.0442390875717061,0.240157013657571,0.00864550539225016,0.144185640003572,0.164935617169853,-0.108138337144199,-0.27640665121901,-0.179630741219446,0.174826111410413,-0.0630894777237427,-0.140348839989284,0.292787112048459,-0.0847927411758836,-0.0621771203504105,-0.165671392284304,-0.255413627386298,0.428646216305797,0.122805280914228,0.0349871097439838,-0.0438372603722415,-0.323097667896356,0.0831739716535739,0.250070087361366,0.265461826111513,0.112123784103241,-0.101999597725215,-0.070612405568313,-0.024661058463031,0.27932801219236,0.184287914233837,0.367202662719233,-0.00126136869610749
"peritoneum..omentum.and.mesentery",0.176825136392503,-0.0872019368584183,0.293381388391574,-0.130350963928707,0.298987441299847,0.34530474050407,-0.0463064130136712,0.0150374225878623,-0.235517703327965,0,0.0729818771980732,-0.0869394307334348,-0.0809415213777521,0.0759541825763587,-0.172102210257075,0.104879671915691,0.434455014923317,0.0801807764569574,-0.130116830641199,0.115316370029697,0.308708516923142,0.211094166809811,0.261456997095088,-0.161028976921409,0.342918705655111,0.315915208006889,-0.201821130037318,-0.121938926042269,0.136580551799187,-0.0922637433399528,0.36167879226678,0.120851668483081,-0.178562090949174,-0.364009259254764,-0.248111915107837,-0.12726549528845,-0.089186553008746,-0.12894807320047,-0.0818119529336119,-0.472377781530391,-0.268606794726259,-0.0382394793686126
