"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1985,0.0939675642761632,1.7853837212471,0.0939675642761632,0,0,0.187935128552326,0,0,0,0,0.0939675642761632,0.187935128552326,0.0939675642761632,4.13457282815118,2.81902692828489,0.187935128552326,3.19489718538955,0.0939675642761632,0,0,11.8399130987966,1.03364320703779,2.81902692828489,0.0939675642761632,6.48376193505526,5.63805385656979,0,0.469837821380816,0.845708078485468,0.375870257104653,0.469837821380816,0.845708078485468,1.7853837212471,0,0.281902692828489,0,0.0939675642761632,0.187935128552326,0.375870257104653,0,0,0.657772949933142
1986,0.0932927199026024,1.49268351844164,0.186585439805205,0,0,0.279878159707807,0,0,0.0932927199026024,0,0.186585439805205,0,0,4.75792871503272,1.95914711795465,0.0932927199026024,3.9182942359093,0,0.0932927199026024,0.0932927199026024,11.4750045480201,0.746341759220819,2.98536703688328,0.186585439805205,9.32927199026024,6.06402679366916,0,0.0932927199026024,1.49268351844164,0.186585439805205,0.279878159707807,0.839634479123422,1.67926895824684,0.0932927199026024,0.37317087961041,0.0932927199026024,0,0.37317087961041,0.279878159707807,0,0,0.559756319415614
1987,0.0937324837421007,1.40598725613151,0,0.0937324837421007,0,0.562394902452604,0,0,0.187464967484201,0,0.0937324837421007,0,0.0937324837421007,5.34275157329974,2.34331209355252,0.0937324837421007,5.24901908955764,0,0,0,13.1225477238941,0.281197451226302,2.34331209355252,0.0937324837421007,9.93564327666267,5.06155412207344,0,0.562394902452604,1.12478980490521,0.0937324837421007,0.656127386194705,0.937324837421007,1.96838215858411,0.0937324837421007,0.0937324837421007,0.187464967484201,0,0.468662418710503,0.281197451226302,0.0937324837421007,0,1.12478980490521
1988,0,0.848524274865297,0.094280474985033,0.094280474985033,0,0.094280474985033,0,0,0.188560949970066,0,0.094280474985033,0,0,6.22251134901218,2.16845092465576,0,5.65682849910198,0,0,0.188560949970066,11.5964984231591,1.31992664979046,3.67693852441629,0.094280474985033,10.8422546232788,3.77121899940132,0,0.377121899940132,0.754243799880264,0,0.565682849910198,0.754243799880264,1.60276807474556,0.094280474985033,0.377121899940132,0.282841424955099,0,0.282841424955099,0.659963324895231,0,0,0.659963324895231
1989,0,1.90295500367746,0.095147750183873,0,0,0.190295500367746,0,0,0,0,0.190295500367746,0.095147750183873,0.095147750183873,5.80401276121625,2.28354600441295,0.095147750183873,5.13797850992914,0,0,0,14.9381967788681,0.856329751654857,3.42531900661943,0.095147750183873,11.5128777722486,6.56519476268724,0.095147750183873,0.570886501103238,0.380591000735492,0.095147750183873,0.856329751654857,1.23692075239035,1.23692075239035,0,0.190295500367746,0.190295500367746,0,0.666034251287111,0.570886501103238,0.095147750183873,0,0.666034251287111
1990,0,1.15473107756617,0.192455179594362,0,0,0.288682769391543,0,0,0.0962275897971811,0.0962275897971811,0.384910359188724,0.192455179594362,0.577365538783087,5.86988297762805,2.11700697553798,0.0962275897971811,5.86988297762805,0.0962275897971811,0,0,12.0284487246476,0.481137948985906,3.5604208224957,0.0962275897971811,10.9699452368786,5.38874502864214,0,0.673593128580268,1.82832420614644,0.384910359188724,0.673593128580268,1.5396414367549,1.92455179594362,0.0962275897971811,0.288682769391543,0.0962275897971811,0,0.673593128580268,0.192455179594362,0,0,0.769820718377449
1991,0,1.36653359232399,0.195219084617712,0.0976095423088561,0,0.0976095423088561,0,0.0976095423088561,0.0976095423088561,0,0.488047711544281,0.195219084617712,0.0976095423088561,5.5637439116048,2.14740993079483,0.292828626926568,7.90637292701734,0,0,0.0976095423088561,13.2748977540044,1.17131450770627,4.09960077697196,0.0976095423088561,11.8107546193716,6.24701070776679,0,0.390438169235424,1.46414313463284,0.195219084617712,0.488047711544281,0.976095423088561,1.85458130386827,0.0976095423088561,0.390438169235424,0.0976095423088561,0,0.195219084617712,0.292828626926568,0,0,0.683266796161993
1992,0,1.75758838786461,0.125542027704615,0.0627710138523073,0,0.313855069261537,0.0627710138523073,0.125542027704615,0,0.0627710138523073,0.0627710138523073,0.0627710138523073,0.376626083113844,4.51951299736613,3.07577967876306,0.0627710138523073,6.8420405099015,0,0.0627710138523073,0.125542027704615,10.9849274241538,0.878794193932303,3.32686373417229,0.188313041556922,12.2403477011999,3.76626083113844,0,0.188313041556922,1.25542027704615,0.188313041556922,0.753252166227688,0.94156520778461,2.38529852638768,0.0627710138523073,0.313855069261537,0.125542027704615,0,0.376626083113844,0.627710138523073,0,0,0.564939124670766
1993,0.0640723761561059,1.98624366083928,0,0.0640723761561059,0,0.448506633092742,0.128144752312212,0,0.128144752312212,0,0.256289504624424,0,0.32036188078053,4.03655969783467,2.56289504624424,0,7.17610612948387,0,0.192217128468318,0,10.6360144419136,0.768868513873271,2.62696742240034,0.0640723761561059,11.9815343411918,3.65212544089804,0,0.256289504624424,0.704796137717165,0.0640723761561059,0.512579009248847,1.60180940390265,1.72995415621486,0,0.640723761561059,0.192217128468318,0,0.384434256936636,0.768868513873271,0,0,0.384434256936636
1994,0,0.718946260074234,0.130717501831679,0.0653587509158395,0,0.196076252747518,0,0,0,0,0.130717501831679,0.196076252747518,0.522870007326716,4.05224255678205,2.35291503297022,0,6.40515758975227,0,0,0,13.5292614395788,0.784305010990074,3.07186129304446,0.130717501831679,10.9149114029452,4.18296005861373,0.130717501831679,0.392152505495037,1.11109876556927,0.326793754579197,0.588228758242555,0.915022512821753,2.22219753113854,0.130717501831679,0.457511256410876,0.196076252747518,0,0.261435003663358,0.588228758242555,0,0,0.718946260074234
1995,0.0659217074249597,1.45027756334911,0,0.0659217074249597,0,0.197765122274879,0.0659217074249597,0,0.0659217074249597,0.0659217074249597,0.263686829699839,0.0659217074249597,0.329608537124798,5.53742342369661,2.76871171184831,0.0659217074249597,6.26256220537117,0,0,0,11.6022205067929,1.18659073364927,2.90055512669823,0,6.32848391279613,4.35083269004734,0.0659217074249597,0.395530244549758,0.461451951974718,0.197765122274879,0.922903903949435,1.31843414849919,1.91172951532383,0.197765122274879,0.527373659399677,0.131843414849919,0,0.395530244549758,0.395530244549758,0.0659217074249597,0,0.329608537124798
1996,0,2.04272457285641,0.0658943410598841,0.131788682119768,0,0.197683023179652,0,0,0.0658943410598841,0,0,0.0658943410598841,0.395366046359305,4.48081519207212,2.30630193709594,0.131788682119768,5.73280767220992,0.0658943410598841,0,0,12.2563474371384,0.856626433778493,2.83345666557502,0.0658943410598841,4.67849821525177,5.13975860267096,0.0658943410598841,0.461260387419189,0.724837751658725,0.263577364239536,0.856626433778493,1.18609813907791,2.70166798345525,0,0.0658943410598841,0,0,0.329471705299421,0.263577364239536,0,0,0.329471705299421
1997,0,1.7811589011437,0.0659688481905075,0.0659688481905075,0,0.329844240952537,0.0659688481905075,0.0659688481905075,0.0659688481905075,0,0.131937696381015,0.197906544571522,0.461781937333552,4.94766361428806,3.16650471314436,0.197906544571522,4.61781937333552,0,0.0659688481905075,0.0659688481905075,10.8848599514337,0.79162617828609,3.23247356133487,0.131937696381015,1.51728350838167,5.40944555162161,0,0.659688481905075,0.989532722857612,0.197906544571522,0.725657330095582,1.45131466019116,2.24294083847725,0,0.395813089143045,0.26387539276203,0,0.461781937333552,0.52775078552406,0,0,1.18743926742913
1998,0,1.52418517391947,0.198806761815583,0.0662689206051943,0,0.198806761815583,0,0,0.198806761815583,0,0.132537841210389,0.0662689206051943,0.397613523631166,4.50628660115321,2.3194122211818,0.198806761815583,4.57255552175841,0,0,0.0662689206051943,12.4585570737765,0.861495967867526,3.04837034783894,0.0662689206051943,1.78926085634025,5.16897580720515,0,0.530151364841554,1.06030272968311,0.265075682420777,0.92776488847272,1.65672301512986,2.12060545936622,0.0662689206051943,0.397613523631166,0,0,0.198806761815583,0.0662689206051943,0.0662689206051943,0,0.530151364841554
