"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus,.nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,7.484207525928,0.796192289992341,0,0,0,0.159238457998468,0,0,0.159238457998468,0,0,0.159238457998468,0.318476915996936,8.91735364791422,1.75162303798315,0.955430747990809,2.22933841197855,0,0.159238457998468,3.9809614499617,1.91086149598162,0,1.91086149598162,0.318476915996936,1.11466920598928,0,0,6.05106140394179,0,0.159238457998468,0.796192289992341,0.477715373995404,0.477715373995404,1.27390766398774,8.28039981592034,0.318476915996936,0.636953831993872,0,0,0,0.318476915996936,0,0,0.636953831993872
1974,8.09796143777314,1.99130199289503,0,0,0,0.265506932386005,0,0,0,0.132753466193002,0,0.265506932386005,0.265506932386005,8.76172876873815,1.59304159431603,0.531013864772009,2.25680892528104,0.265506932386005,0,4.91187824914109,1.46028812812303,0,1.32753466193002,0.663767330965012,2.65506932386005,0,0,6.63767330965011,0,0.531013864772009,0.663767330965012,0,0.265506932386005,0.796520797158014,7.03593370822912,0.132753466193002,0.796520797158014,0,0,0.132753466193002,0.531013864772009,0,0,0.531013864772009
1975,8.66314904312631,1.50161250080856,0,0,0.115508653908351,0.115508653908351,0,0,0,0.115508653908351,0.115508653908351,0,0.231017307816702,10.0492528900265,0.808560577358456,0.346525961725052,2.77220769380042,0.231017307816702,0.346525961725052,4.62034615633403,1.84813846253361,0.115508653908351,2.65669903989207,0.346525961725052,1.96364711644196,0,0,6.93051923450105,0,0.346525961725052,1.15508653908351,0.115508653908351,0.346525961725052,0.693051923450105,10.0492528900265,0.231017307816702,0.808560577358456,0,0,0.231017307816702,0.346525961725052,0,0.115508653908351,0.462034615633403
1976,9.30879462061186,1.31418276996873,0,0,0,0.328545692492183,0,0,0.328545692492183,0,0,0.109515230830728,0.328545692492183,9.52782508227332,0.547576154153639,0.547576154153639,2.62836553993747,0,0.109515230830728,3.28545692492183,1.75224369329164,0,2.51885030910674,0.766606615815094,1.86175892412237,0.219030461661456,0,6.57091384984367,0.109515230830728,0.328545692492183,1.09515230830728,0.219030461661456,0.219030461661456,0.98563707747655,8.6517032356275,0,0.438060923322911,0,0,0,0.328545692492183,0,0,0.438060923322911
1977,8.22449583840511,1.75455911219309,0,0,0,0.109659944512068,0,0,0.219319889024136,0,0.109659944512068,0.109659944512068,0,9.21143533901372,1.20625938963275,0.767619611584477,2.7414986128017,0.219319889024136,0.109659944512068,5.04435744755513,2.52217872377757,0.219319889024136,2.08353894572929,0.328979833536204,1.86421905670516,0.328979833536204,0,7.34721628230856,0.109659944512068,0.438639778048272,0.54829972256034,0.219319889024136,0.438639778048272,1.42557927865689,9.43075522803785,0.109659944512068,0.657959667072408,0.109659944512068,0,0.109659944512068,0.54829972256034,0,0,0.219319889024136
1978,8.6997054988583,1.82586411704433,0,0.107403771590843,0,0.107403771590843,0,0,0.214807543181686,0,0.214807543181686,0,0.214807543181686,7.41086023976818,1.28884525909012,1.07403771590843,3.2221131477253,0,0.32221131477253,4.7257659499971,2.04067166022602,0,1.28884525909012,0.429615086363373,2.68509428977108,0,0,7.41086023976818,0,0.214807543181686,1.18144148749928,0.32221131477253,0.32221131477253,1.18144148749928,7.30345646817734,0.107403771590843,0.429615086363373,0.107403771590843,0,0,0.107403771590843,0,0,0.214807543181686
1979,7.75418804744306,1.88615384937804,0,0,0.104786324965447,0.104786324965447,0,0,0.104786324965447,0,0,0,0.209572649930893,8.59247864716663,0.94307692468902,0.31435897489634,3.1435897489634,0.209572649930893,0.104786324965447,2.82923077406706,1.36222222455081,0.104786324965447,1.25743589958536,0.209572649930893,2.41008547420527,0.209572649930893,0,8.27811967227029,0.104786324965447,0.838290599723574,1.25743589958536,0.209572649930893,0.838290599723574,1.15264957461991,8.48769232220118,0.104786324965447,0.838290599723574,0.104786324965447,0,0,0.104786324965447,0,0,0.209572649930893
1980,8.64636567820058,1.11894144070831,0,0,0,0.305165847465903,0,0.101721949155301,0.203443898310602,0,0.203443898310602,0.101721949155301,0,7.62914618664757,0.712053644087107,1.01721949155301,3.05165847465903,0.203443898310602,0.406887796621204,4.88265355945444,1.62755118648482,0.101721949155301,1.42410728817421,0.305165847465903,1.11894144070831,0.101721949155301,0,7.93431203411347,0,0.406887796621204,0.406887796621204,0.203443898310602,0.508609745776505,0.712053644087107,7.83259008495817,0,0.305165847465903,0.101721949155301,0,0,0.203443898310602,0,0,0.203443898310602
1981,8.48020719640359,0.498835717435506,0,0,0,0.199534286974202,0,0,0.199534286974202,0,0.199534286974202,0,0.0997671434871011,7.78183719199389,0.498835717435506,0.199534286974202,3.59161716553564,0.498835717435506,0.199534286974202,3.79115145250984,1.59627429579362,0,1.79580858276782,0.399068573948404,2.59394573066463,0.199534286974202,0,8.38044005291649,0,0.598602860922607,1.39674000881942,0.0997671434871011,0.598602860922607,0.498835717435506,10.0764814921972,0.0997671434871011,0.498835717435506,0.199534286974202,0,0,0.299301430461303,0,0,0.299301430461303
1982,9.08697406694853,1.36793157997075,0,0,0,0.390837594277356,0.097709398569339,0,0,0.097709398569339,0.097709398569339,0.097709398569339,0.097709398569339,8.50071767553249,1.27022218140141,0.781675188554712,3.22441015278819,0.195418797138678,0.293128195708017,4.69005113132827,1.66105977567876,0,1.85647857281744,1.27022218140141,2.05189736995612,0.293128195708017,0.097709398569339,7.81675188554712,0.097709398569339,0.293128195708017,0.781675188554712,0.097709398569339,0.293128195708017,0.781675188554712,7.5236236898391,0.097709398569339,0.293128195708017,0,0,0,0.586256391416034,0,0,0.390837594277356
