"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,0.233726773401893,8.41416384246815,0,0.467453546803786,0,0,0,0.233726773401893,1.40236064041136,0,0.467453546803786,0.233726773401893,2.57099450742083,3.97335514783218,4.90826224143976,0.934907093607573,3.2721748276265,0,0.467453546803786,0,6.7780764286549,0.70118032020568,3.5059016010284,0.233726773401893,0.233726773401893,6.7780764286549,0.467453546803786,2.80472128082272,3.73962837443029,0,0.467453546803786,1.63608741381325,3.03844805422461,2.10354096061704,9.58279770947762,0.233726773401893,0,0.233726773401893,3.97335514783218,0,0,2.57099450742083
1974,0,8.81141959980134,0,0.400519072718243,0.200259536359121,0.200259536359121,0,0,1.40181675451385,0,0,0.600778609077364,2.00259536359121,3.80493119082331,4.00519072718243,1.00129768179561,3.60467165446419,0.400519072718243,0.200259536359121,0.200259536359121,5.20674794533716,0.600778609077364,3.60467165446419,0.400519072718243,0,7.81012191800574,0.200259536359121,0.801038145436486,4.00519072718243,0.801038145436486,0.400519072718243,1.40181675451385,3.80493119082331,1.00129768179561,6.80882423621013,0.600778609077364,0,0,2.8036335090277,0.400519072718243,0,2.8036335090277
1975,0,5.56557958329967,0.179534825267731,0.179534825267731,0,0.718139301070925,0,0,2.51348755374824,0,0.359069650535463,0.538604475803194,1.61581342740958,3.94976615589009,5.38604475803194,0.179534825267731,4.66790545696101,0,0.179534825267731,0.179534825267731,6.64278853490606,0.718139301070925,4.66790545696101,0.359069650535463,0.179534825267731,8.43813678758337,0.538604475803194,2.69302237901597,4.66790545696101,0.359069650535463,0.179534825267731,1.07720895160639,3.59069650535463,1.25674377687412,8.6176716128511,0.359069650535463,0,0.179534825267731,3.4111616800869,0.359069650535463,0.179534825267731,3.4111616800869
1976,0.174172333073236,7.31523798907591,0,0.87086166536618,0,0.696689332292944,0.174172333073236,0,1.21920633151265,0,0.522516999219708,0.522516999219708,2.96092966224501,3.83179132761119,4.00596366068443,0.696689332292944,4.52848065990414,0,0.348344666146472,0.174172333073236,6.09603165756326,0.696689332292944,5.57351465834355,0.348344666146472,0.174172333073236,8.88278898673503,0,2.78675732917178,5.57351465834355,0.174172333073236,0.522516999219708,1.56755099765912,2.78675732917178,0.696689332292944,8.01192732136886,0.174172333073236,0,0.348344666146472,1.21920633151265,0.174172333073236,0,3.48344666146472
1977,0.16734385145221,9.53859953277597,0,0.66937540580884,0,0,0.16734385145221,0,0.83671925726105,0,0.33468770290442,0.33468770290442,2.51015777178315,4.68562784066188,3.84890858340083,0.50203155435663,4.35094013775746,0.33468770290442,0.16734385145221,0,9.20391182987155,0.33468770290442,4.68562784066188,0.16734385145221,0.16734385145221,10.5426626414892,0,3.01218932613978,4.68562784066188,0.33468770290442,0.66937540580884,1.50609466306989,4.85297169211409,1.50609466306989,9.20391182987155,0.50203155435663,0,0.50203155435663,2.51015777178315,0.16734385145221,0,3.01218932613978
1978,0.157050713245814,7.38138352255327,0.157050713245814,0.785253566229071,0,0.942304279474885,0.314101426491628,0,1.0993549927207,0,0.314101426491628,0.628202852983257,2.82691283842466,1.88460855894977,5.02562282386605,0.785253566229071,4.86857211062024,0.157050713245814,0.157050713245814,0.157050713245814,7.53843423579908,0.471152139737443,2.98396355167047,0.628202852983257,0,8.48073851527397,0,2.66986212517884,2.98396355167047,0.314101426491628,0.785253566229071,2.82691283842466,4.86857211062024,0.942304279474885,7.38138352255327,0.314101426491628,0,0,1.72755784570396,0,0,3.45511569140791
1979,0.150090654755472,6.75407946399625,0,0.600362619021889,0,0.300181309510945,0,0.150090654755472,1.05063458328831,0,0,0.600362619021889,1.20072523804378,3.60217571413134,3.30199440462039,1.80108785706567,5.85353553546342,0,0.300181309510945,0.150090654755472,6.15371684497436,0.450271964266417,4.95299160693059,0.150090654755472,0,10.3562551781276,0.300181309510945,1.6509972023102,3.90235702364228,0.150090654755472,0.900543928532834,0.750453273777361,2.40145047608756,1.20072523804378,7.95480470204003,0.300181309510945,0,0.300181309510945,3.15190374986492,0.300181309510945,0,3.15190374986492
1980,0,5.19789542989483,0,0.577543936654981,0,0.577543936654981,0.288771968327491,0,0.721929920818726,0,0.288771968327491,0.144385984163745,1.5882458258012,3.60964960409363,3.75403558825738,0.288771968327491,5.48666739822232,0.144385984163745,0.288771968327491,0.144385984163745,6.93052723985977,0.577543936654981,4.76473747740359,0.577543936654981,0.144385984163745,13.8610544797195,0.144385984163745,1.01070188914622,4.90912346156734,0.577543936654981,1.15508787330996,1.5882458258012,2.45456173078367,1.01070188914622,9.52947495480719,0.577543936654981,0,0,1.87701779412869,0,0,4.90912346156734
1981,0.283890895051214,4.96809066339624,0.425836342576821,0.283890895051214,0,0.283890895051214,0.141945447525607,0,1.27750902773046,0,0.283890895051214,0,1.41945447525607,2.55501805546093,4.25836342576821,0.709727237628035,7.52310871885717,0.283890895051214,0.141945447525607,0,8.51672685153642,0.709727237628035,3.97447253071699,0.283890895051214,0.709727237628035,11.6395266970998,0,0.993618132679249,3.69058163566578,0.283890895051214,0.567781790102428,1.41945447525607,2.41307260793532,1.27750902773046,8.51672685153642,0,0,0.283890895051214,1.84529081783289,0,0.141945447525607,3.97447253071699
1982,0,7.36751950090318,0.394688544691242,0.131562848230414,0,0.394688544691242,0,0,1.57875417876497,0,0.131562848230414,0.526251392921656,1.05250278584331,4.07844829514283,4.07844829514283,0.526251392921656,5.39407677744697,0.131562848230414,0.394688544691242,0.394688544691242,7.10439380444235,0.65781424115207,4.21001114337325,0.526251392921656,2.10500557168662,12.1037820371981,0.263125696460828,2.63125696460828,4.07844829514283,0.394688544691242,1.05250278584331,2.10500557168662,3.28907120576035,0.789377089382483,6.84126810798152,0.263125696460828,0,0.526251392921656,2.36813126814745,0,0,3.68375975045159
