"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus,.nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,53.9617887316948,6.32188319869227,0,0,0,1.12890771405219,0,0,1.58047079967307,0,0,0.225781542810438,2.25781542810438,25.73909588039,7.45079091274447,0.225781542810438,9.03126171241753,0,0.903126171241753,2.25781542810438,3.16094159934614,0.677344628431315,3.38672314215657,0,3.16094159934614,0.677344628431315,0,7.6765724555549,0,1.35468925686263,3.16094159934614,0.451563085620877,0.677344628431315,2.48359697091482,10.3859509692802,0.677344628431315,4.96719394182964,0.451563085620877,0.225781542810438,0,1.80625234248351,0,0,1.80625234248351
1974,67.4441587705671,7.01731131716883,0.194925314365801,0.389850628731601,0.389850628731601,1.1695518861948,0,0.194925314365801,0.779701257463203,0,0.194925314365801,0,1.94925314365801,22.2214858377013,7.40716194590043,0.779701257463203,8.18686320336363,0.584775943097402,0.779701257463203,2.72895440112121,3.11880502985281,0.194925314365801,2.92387971548701,0.389850628731601,2.53402908675541,0.779701257463203,0,9.35641508955844,0.194925314365801,0.584775943097402,2.33910377238961,0.194925314365801,0.584775943097402,2.14417845802381,8.57671383209523,0.974626571829004,6.43253537407142,0,0,0,0.974626571829004,0,0,2.14417845802381
1975,55.2620487879948,6.99519604911327,0,0.349759802455664,0,0.349759802455664,0,0,1.04927940736699,0,0.349759802455664,0.699519604911327,1.04927940736699,18.712149431378,7.1700759503411,0.349759802455664,6.47055634542978,0,0.699519604911327,1.74879901227832,3.3227181233288,0.349759802455664,3.3227181233288,0.349759802455664,3.49759802455664,0.524639703683495,0,9.26863476507508,0.349759802455664,0.524639703683495,3.14783822210097,0.524639703683495,0.699519604911327,1.22415930859482,9.61839456753075,0.349759802455664,5.59615683929062,0,0.174879901227832,0.174879901227832,0.874399506139159,0,0,0.349759802455664
1976,57.5509189417442,7.15129761998004,0.170268990951906,0,0,0.510806972855717,0.170268990951906,0,0.851344954759529,0,0,0,0.681075963807623,20.6025479051806,6.12968367426861,0.681075963807623,7.15129761998004,0.170268990951906,0.340537981903812,1.70268990951906,3.40537981903812,0.340537981903812,5.10806972855718,0,2.55403486427859,0,0,10.0458704661624,0.170268990951906,1.36215192761525,1.87295890047096,0,1.02161394571143,1.87295890047096,8.8539875294991,0.510806972855717,6.29995266522051,0.170268990951906,0,0,1.53242091856715,0,0,0.170268990951906
1977,59.2506515930383,6.40103992279361,0,0,0,0.492387686368739,0.16412922878958,0,0.984775372737479,0,0.32825845757916,0.32825845757916,1.31303383031664,15.9205351925892,6.89342760916235,0.16412922878958,5.74452300763529,0.16412922878958,1.6412922878958,1.80542151668538,1.80542151668538,0.16412922878958,2.4619384318437,0,1.6412922878958,0.492387686368739,0,8.69884912584773,0.16412922878958,2.29780920305412,2.29780920305412,0.32825845757916,0.820646143947899,1.47716305910622,9.51949526979563,0.16412922878958,5.90865223642487,0.16412922878958,0,0.16412922878958,1.80542151668538,0.32825845757916,0,1.80542151668538
1978,61.2334835821588,6.33983037088008,0.463890027137567,0.309260018091711,0.154630009045856,0.463890027137567,0,0.154630009045856,0.463890027137567,0,0,0.309260018091711,1.23704007236684,17.7824510402734,6.80372039801764,0.463890027137567,6.49446037992593,0.154630009045856,0.154630009045856,1.85556010855027,3.24723018996297,0.154630009045856,3.09260018091711,0.309260018091711,3.40186019900882,0.154630009045856,0,12.2157707146226,0.154630009045856,1.70093009950441,2.01019011759612,0.309260018091711,0.309260018091711,2.01019011759612,6.49446037992593,0,7.57687044324692,0.309260018091711,0,0.154630009045856,1.70093009950441,0.154630009045856,0.154630009045856,1.23704007236684
1979,54.3780235736882,6.51943606878005,0,0.148169001563183,0.148169001563183,0.444507004689549,0.296338003126366,0,0.889014009379098,0,0.296338003126366,0.296338003126366,1.33352101406865,19.1138012016506,6.0749290640905,0.740845007815915,7.26028107659597,0.296338003126366,1.48169001563183,2.96338003126366,3.70422503907957,0.296338003126366,4.29690104533231,0.148169001563183,5.03774605314822,0,0,10.3718301094228,0.148169001563183,1.62985901719501,1.62985901719501,0.148169001563183,0.592676006252732,2.51887302657411,10.6681681125492,0.296338003126366,5.1859150547114,0.148169001563183,0,0.148169001563183,1.33352101406865,0.148169001563183,0,1.48169001563183
1980,62.3728813559322,6.99375557537913,0.142729705619982,0.142729705619982,0,0.142729705619982,0,0.142729705619982,0.856378233719893,0,0,0.142729705619982,1.99821587867975,15.4148082069581,5.85191793041927,0.428189116859946,5.5664585191793,0.285459411239964,0.570918822479929,1.5700267618198,2.85459411239964,0.285459411239964,3.85370205173952,0.285459411239964,3.71097234611954,0,0,13.5593220338983,0,1.14183764495986,1.99821587867975,0.142729705619982,0.713648528099911,0.570918822479929,8.13559322033898,0,4.85280999107939,0.285459411239964,0,0.142729705619982,2.28367528991971,0,0.285459411239964,1.71275646743979
1981,67.4686382813134,5.31910426284214,0.27995285593906,0.27995285593906,0.27995285593906,0.27995285593906,0.27995285593906,0.13997642796953,0.83985856781718,0,0.27995285593906,0.41992928390859,2.09964641954295,14.6975249368006,8.11863282223274,0.13997642796953,6.43891568659838,0.13997642796953,0.69988213984765,1.53974070766483,2.51957570345154,0.69988213984765,3.35943427126872,0.27995285593906,4.05931641111637,0.27995285593906,0,13.4377370850749,0,2.51957570345154,2.93950498736013,0.13997642796953,1.11981142375624,1.95966999157342,9.51839710192803,0.41992928390859,6.71886854253744,0.13997642796953,0,0,1.67971713563436,0.13997642796953,0,1.3997642796953
1982,65.8758111283437,6.48383967798659,0.129676793559732,0,0,0.389030380679195,0.129676793559732,0,0.389030380679195,0,0,0.259353587119463,1.68579831627651,16.2095991949665,6.35416288442685,0.389030380679195,6.87287005866578,0.259353587119463,0.77806076135839,2.59353587119463,2.98256625187383,0.129676793559732,5.18707174238927,0.259353587119463,2.59353587119463,0.129676793559732,0,14.9128312593691,0,2.4638590776349,2.4638590776349,0.129676793559732,0.907737554918122,1.03741434847785,9.20705234274095,0.259353587119463,5.83545571018793,0,0,0.129676793559732,1.03741434847785,0,0,2.33418228407517
