"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,0,2.92488315091812,0,0,0,0.584976630183624,0,0,1.55993768048966,0,0.194992210061208,0.389984420122416,0.584976630183624,5.65477409177503,2.92488315091812,0,3.70485199116295,0,0.194992210061208,0,7.01971956220349,1.55993768048966,3.31486757104054,0,0,5.65477409177503,0.194992210061208,0.779968840244832,1.94992210061208,0.389984420122416,0.194992210061208,1.55993768048966,2.3399065207345,0,2.72989094085691,0.194992210061208,0,0,1.36494547042846,0,0.194992210061208,2.3399065207345
1974,0,3.07596168323099,0.161892720170052,0,0,0.485678160510156,0.161892720170052,0,0.323785440340104,0,0,0.323785440340104,0.971356321020313,4.69488888493151,2.91406896306094,0,2.75217624289089,0,0.161892720170052,0,9.06599232952292,0.323785440340104,2.26649808238073,0.485678160510156,0,4.85678160510156,0.323785440340104,1.13324904119036,2.26649808238073,0,0.323785440340104,1.78081992187057,3.07596168323099,0.161892720170052,2.10460536221068,0.323785440340104,0.161892720170052,0.161892720170052,1.29514176136042,0,0,2.59028352272083
1975,0,4.25919169060096,0,0.141973056353365,0,0.28394611270673,0,0,0.567892225413461,0,0.567892225413461,0.425919169060096,0.28394611270673,4.40116474695432,2.83946112706731,0.28394611270673,3.97524557789423,0,0,0,7.95049115578845,0.709865281766826,2.98143418342067,0.567892225413461,0,5.96286836684134,0.28394611270673,0.993811394473557,2.12959584530048,0,0.425919169060096,1.98762278894711,3.54932640883413,0.709865281766826,2.83946112706731,0,0,0.141973056353365,0.993811394473557,0.141973056353365,0,2.27156890165384
1976,0,3.06315387892745,0,0,0,0.27846853444795,0,0,0.417702801671925,0,0.27846853444795,0.27846853444795,0.5569370688959,2.92391961170348,2.92391961170348,0.417702801671925,3.3416224133754,0,0,0,5.98707349063093,0.974639870567825,3.48085668059938,0.5569370688959,0,7.37941616287068,0.139234267223975,1.25310840501578,2.36698254280758,0.974639870567825,0.139234267223975,1.39234267223975,3.8985594822713,0.27846853444795,2.2277482755836,0,0,0.417702801671925,0.974639870567825,0,0,1.94927974113565
1977,0,3.46457218307826,0,0,0.128317488262158,0.384952464786473,0,0,0.256634976524315,0,0.256634976524315,0,0.513269953048631,4.49111208917552,3.46457218307826,0,3.46457218307826,0,0.128317488262158,0,9.62381161966183,0.769904929572947,3.97784213612689,0.513269953048631,0,7.44241431920515,0,0.769904929572947,2.69466725350531,0.384952464786473,0.513269953048631,1.28317488262158,4.87606455396199,0.128317488262158,2.30971478871884,0.128317488262158,0,0.128317488262158,1.15485739435942,0,0,1.53980985914589
1978,0.123865546426665,2.72504202138663,0.123865546426665,0.123865546426665,0,0.123865546426665,0.24773109285333,0,0.495462185706659,0,0,0,0.867058824986654,4.70689076421326,3.96369748565327,0.24773109285333,2.1057142892533,0,0,0,7.30806723917322,0.990924371413318,3.59210084637328,0.371596639279994,0.24773109285333,7.18420169274656,0.123865546426665,1.61025210354664,1.98184874282664,0.24773109285333,0.867058824986654,1.98184874282664,3.46823529994661,0,1.73411764997331,0.123865546426665,0,0.123865546426665,1.61025210354664,0,0,1.73411764997331
1979,0,3.90594484805875,0.236723930185379,0.355085895278068,0,0.355085895278068,0,0.236723930185379,0.236723930185379,0,0,0.236723930185379,0.710171790556136,4.3793927084295,2.36723930185378,0.118361965092689,3.90594484805875,0,0,0,8.40369952158094,0.355085895278068,3.66922091787337,0.473447860370757,0,9.11387131213707,0.236723930185379,1.30198161601958,1.53870554620496,0.236723930185379,0.828533755648825,0.828533755648825,3.78758288296606,0.118361965092689,2.36723930185378,0.591809825463446,0,0.473447860370757,0.591809825463446,0,0,1.77542947639034
1980,0.113076762159992,2.37461200535984,0.113076762159992,0.113076762159992,0,0.339230286479977,0.113076762159992,0,0.113076762159992,0,0.113076762159992,0.226153524319985,0.678460572959954,4.52307048639969,3.61845638911975,0,4.18384019991972,0,0.226153524319985,0,11.7599832646392,0.339230286479977,3.27922610263978,0.452307048639969,0.113076762159992,8.8199874484794,0,0.904614097279939,1.92230495671987,0.339230286479977,0.678460572959954,0.791537335119946,2.9399958161598,0.678460572959954,0.904614097279939,0,0,0.339230286479977,0.904614097279939,0.113076762159992,0,1.92230495671987
1981,0,2.582302833109,0.107595951379541,0.107595951379541,0,0.430383805518166,0.107595951379541,0,0.107595951379541,0,0.215191902759083,0.107595951379541,0.75317165965679,3.55066639552487,2.47470688172945,0.215191902759083,3.33547449276579,0,0.107595951379541,0,11.72795870037,0.537979756897707,4.19624210380212,0.537979756897707,0.430383805518166,8.17729230484515,0,0.968363562415873,2.47470688172945,0.215191902759083,0.968363562415873,1.72153522207266,2.04432307621129,0.322787854138624,1.72153522207266,0.215191902759083,0.107595951379541,0.107595951379541,0.75317165965679,0,0.107595951379541,2.582302833109
1982,0,4.10402183339615,0.108000574563057,0.108000574563057,0.108000574563057,0.432002298252227,0.108000574563057,0,0.216001149126113,0,0,0.216001149126113,0.540002872815283,3.78002010970698,2.4840132149503,0.432002298252227,4.32002298252227,0,0.108000574563057,0,9.28804941242287,0.756004021941397,4.42802355708532,0.432002298252227,2.70001436407642,7.45203964485091,0.108000574563057,0.864004596504453,3.13201666232864,0.216001149126113,0.432002298252227,1.40400746931974,3.02401608776559,0.32400172368917,2.26801206582419,0,0,0.108000574563057,1.08000574563057,0,0,1.94401034213502
