"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,0,1.91266276587951,0,0.0759883178729439,0,0.306544235302958,0,0,0.893439612014165,0,0.178169729640597,0.280351141408249,0.382532553175902,5.31889879532319,2.29260435524423,0.0759883178729439,2.92929495593367,0,0.102181411767653,0,6.94602849217208,1.19739288350594,2.57295549665248,0,0,5.24291047745024,0.102181411767653,0.712678918562386,1.85768561427891,0.356339459281193,0.482123001132372,1.57733447287066,1.98606011994127,0,1.8864696719848,0.178169729640597,0,0.303953271491776,1.09521147173829,0,0.102181411767653,1.60611853057655
1974,0,2.55915475108922,0.0848363465221959,0.0631509444778332,0,0.317659984044421,0.147987291000029,0,0.169672693044392,0,0.126301888955666,0.295974582000058,0.572169023611009,5.99670693990234,2.85322407143402,0,2.57893489147833,0,0.147987291000029,0,9.42400529660263,0.359125526477891,2.19812396295607,0.380810928522254,0,4.94482628582354,0.232823637522225,0.909609148044537,1.94552018504474,0,0.295974582000058,1.31210547861115,2.81175852900055,0.147987291000029,1.29232533822205,0.232823637522225,0.0848363465221959,0.400591068911362,0.7418417166554,0.0631509444778332,0,1.79943815569997
1975,0,3.0599218491721,0,0.129596908477636,0,0.259193816955272,0,0,0.407989579889613,0,0.297591525868682,0.278392671411977,0.479989924997134,4.6798924869323,3.30952552068877,0.203994789944806,3.51831538335288,0,0.0551990270104655,0,8.251009360936,0.868780650430042,2.77673410504082,0.407989579889613,0,5.49826918307118,0.203994789944806,0.962377386353918,1.83355557314361,0.110398054020931,0.443989752443374,1.86955574569737,3.29512173895137,0.371989407335853,1.65355471037481,0.0551990270104655,0,0.129596908477636,0.796780305322521,0.0743978814671705,0,1.68715734656892
1976,0,2.12853488409745,0,0.0523355950476879,0,0.198260952649558,0,0,0.271223631450493,0,0.14592535760187,0.198260952649558,0.658199880537555,3.52096886663177,2.94527732110721,0.218888036402805,2.7978161921762,0,0,0,7.69059195758905,0.667745536749609,3.4464704165017,0.344186310251428,0,6.37913053873857,0.125298273848623,1.18002005968529,1.50204351485433,0.667745536749609,0.229969463943999,1.25298273848623,3.246673692523,0.198260952649558,1.4290808360534,0,0,0.271223631450493,0.772416726844985,0.0523355950476879,0,1.54483345368997
1977,0,2.5495513592226,0,0,0.0672419790564491,0.3065856406977,0,0,0.344203365169604,0,0.239343661641251,0,0.321397767989973,5.02739170694872,3.02142002510018,0.0524298517641765,2.81170061804348,0,0.0672419790564491,0,9.65697538448121,0.560741429631224,3.13309838603345,0.321397767989973,0,6.15451841113364,0,0.718030984923753,1.88395022606302,0.3065856406977,0.583547026810855,0.98699890114955,3.65622209119277,0.172101682584802,1.57736458536532,0.172101682584802,0,0.119671830820626,0.972186773857277,0,0,1.54092167337586
1978,0.0649090361059828,2.45516490205158,0.0649090361059828,0.0649090361059828,0,0.167625646877979,0.129818072211966,0,0.310994449809929,0,0.0513583053859981,0.0513583053859981,0.557079863513875,4.62359219823926,3.2583301792694,0.181176377597964,2.74691938615364,0,0.0513583053859981,0.0513583053859981,8.45188061499281,0.878780426549848,3.26903629249545,0.348802024475942,0.129818072211966,6.64078919576289,0.116267341491981,1.25468391246576,1.5521276315557,0.386609599141956,0.557079863513875,1.86027746387169,2.3310360648275,0.102716610771996,1.16551803241375,0.116267341491981,0,0.218983952263977,0.99789238553577,0.102716610771996,0,1.37095125395774
1979,0,2.74768187066007,0.274233592677546,0.186075013288503,0,0.286197402500866,0,0.124050008859002,0.174111203465183,0,0,0.124050008859002,0.472272415789369,4.74792369959443,2.59215234295692,0.0620250044295009,3.39847740054043,0,0,0.0500611946061815,9.4599559697189,0.736748153956499,3.22436619707525,0.298161212324185,0,7.22892387677447,0.124050008859002,0.932581021755418,1.40705939285769,0.174111203465183,0.584358614825051,0.88472578246214,2.78577925544293,0.0620250044295009,1.49080606162093,0.310125022147505,0,0.348222406930367,0.660553384390775,0,0,1.28080342868578
1980,0.0592554091878654,1.92398214822896,0.0592554091878654,0.0592554091878654,0,0.371942957644679,0.0592554091878654,0,0.0592554091878654,0,0.204887956748678,0.118510818375731,0.549709185208275,4.65179294596734,3.49813111718063,0,3.30896633791725,0,0.118510818375731,0,11.1626133551259,0.566119687725762,2.98055561197514,0.237021636751462,0.156343774228407,7.00058686014677,0,0.765308368624548,1.34715123383561,0.323398775124408,0.501165002688005,1.43421569724074,1.8804499165264,0.355532455127193,0.571131638543465,0,0,0.371942957644679,0.716764186104277,0.0592554091878654,0,1.34715123383561
1981,0,1.97092441636247,0.0563833099229664,0.0563833099229664,0,0.273050545708118,0.15141792195547,0,0.0563833099229664,0.0475173060162519,0.112766619845933,0.15141792195547,0.584752393525773,4.6166529764005,2.62730069668328,0.112766619845933,3.17340178809952,0,0.103900615939218,0,11.0875806072935,0.567020385712344,3.48191634943449,0.376951161647336,0.368085157740621,6.56596224292554,0,0.745036319387957,1.819506494407,0.207801231878437,0.840070931420461,1.37730601892998,1.78404247878014,0.264184541801403,1.09220218283247,0.160283925862185,0.0563833099229664,0.0563833099229664,0.77482161759078,0,0.0563833099229664,1.78085519229746
1982,0,2.61513945454199,0.103046982615536,0.149498621360121,0.0565953438709509,0.272833014228389,0.103046982615536,0,0.159642326486487,0.0929032774891701,0.0929032774891701,0.159642326486487,0.42233163558851,4.7214837214138,2.60233879388025,0.226381375483804,3.33220144596349,0,0.103046982615536,0,10.1626863897845,0.674877239564167,3.80686153853571,0.365736291717559,1.87939998421962,6.27411230306945,0.0565953438709509,0.592117667201362,2.15223299844801,0.298997242720242,0.365736291717559,1.38606241274655,2.18854093206623,0.169786031612853,1.42076041501289,0.0929032774891701,0,0.195950260104706,0.751759993687849,0.046451638744585,0,1.52968421586755
