"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus,.nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,40.0980364706353,4.97761885762322,0.0896861739868108,0,0,0.779955870448733,0,0,0.840816931465156,0,0,0.120116704495022,1.55991174089747,22.3031770151664,6.47506411996644,0.299489052468644,6.68807783352392,0,0.749525339940521,2.72583200272601,2.21975090685118,0.450036287471878,2.60892613330663,0.0896861739868108,2.3991232548248,0.450036287471878,0,6.59518082446146,0,1.07944492291738,2.30943708083799,0.329919582976855,0.539722461458688,2.03877314133973,9.4715600621907,0.450036287471878,3.44974306477179,0.240233408990045,0.120116704495022,0.0896861739868108,1.31967833190742,0,0,1.31967833190742
1974,49.7861891324994,5.82655758095883,0.103701064723142,0.207402129446285,0.207402129446285,0.771729191976404,0.074761401818775,0.103701064723142,0.639088464348894,0,0.178462466541917,0.074761401818775,1.1117720490502,20.7185281948725,5.51062989767368,0.639088464348894,7.04685518384788,0.311103194169427,0.564327062530119,2.19942892431174,2.70587666103313,0.103701064723142,2.75169839994754,0.28216353126506,2.3947734668637,0.489565660711344,0,8.19239138491816,0.103701064723142,0.460625997806977,2.29107240214056,0.178462466541917,0.385864595988202,1.66404152468599,9.34757656421986,0.668028127253262,4.16974915405145,0.14952280363755,0,0.14952280363755,0.892312332709587,0,0,1.51451872104844
1975,41.6075664615469,5.22298307526957,0,0.186073645847467,0.0652830503617489,0.316639746570965,0,0,0.623503987904151,0.0652830503617489,0.251356696209216,0.437430342056684,0.819353138989398,17.3319247437171,5.77300125072555,0.512488897656212,5.46613700939236,0,0.567996442780182,2.30131228683406,2.68166234061543,0.251356696209216,2.55109623989193,0.512488897656212,3.03583136498615,0.34439351913295,0,8.19510413304533,0.251356696209216,0.474959619856448,2.1969272155212,0.409676569494699,0.502713392418433,0.912389961913132,9.42570658468078,0.186073645847467,3.95642408898571,0,0.0930368229237337,0.0930368229237337,0.726316316065664,0,0,0.577771948017961
1976,41.4964258382335,5.21240331589699,0.154578514547376,0,0,0.335746114132847,0.0905837997927355,0.0639947147546406,0.516913713718318,0,0.127989429509281,0.127989429509281,0.874292917208067,19.6639209815521,4.92487937615913,0.490324628680223,5.34039274540627,0.282567944056657,0.437146458604033,1.80176400449232,3.60352800898465,0.245162314340112,4.25338714789344,0.191984144263922,2.38267243296528,0.191984144263922,0,8.67216935501271,0.154578514547376,1.36461754588829,1.31639537149329,0.127989429509281,0.735486943020335,1.57237423051186,8.7420246187646,0.399740828887488,4.1195371693869,0.154578514547376,0,0,1.45520134568103,0,0,0.218573229302017
1977,44.7540276413697,5.00036086375191,0,0,0,0.261952263609952,0.0873174212033173,0,0.642051300317869,0,0.174634842406635,0.2927816155046,1.05297968892044,15.0269357636589,5.26231312736186,0.1463908077523,5.30089843097746,0.0873174212033173,0.991320985131139,2.43732629696106,2.02381259111818,0.1463908077523,2.13678872973552,0.118146773097966,1.93649516991487,0.380099036707918,0,9.41276763424344,0.1463908077523,1.69503098923831,1.87225114888525,0.351855002053583,0.731954038761501,1.43566404286867,10.026574899907,0.1463908077523,3.67508764226027,0.0873174212033173,0,0.0873174212033173,1.07863840633446,0.174634842406635,0,1.19678517943242
1978,44.2038471004888,5.02572802898419,0.246791392309039,0.164527594872693,0.0822637974363463,0.303788369346763,0,0.0822637974363463,0.474779300459934,0,0.0569969770377239,0.335518525985864,0.886098287641666,15.4450192941408,5.6714982605573,0.474779300459934,5.9629464819864,0.0822637974363463,0.196257751511794,2.69707488036787,2.35450649357824,0.13926077447407,2.72821851244368,0.506509457099036,2.83574913027865,0.196257751511794,0.0569969770377239,11.8565558390174,0.13926077447407,1.41787456513932,1.92438402223836,0.27852154894814,0.27852154894814,1.63939913704974,9.553756035363,0.113993954075448,4.94287770698455,0.221524571910416,0,0.196257751511794,1.07589270291298,0.13926077447407,0.0822637974363463,0.94309526467939
1979,41.5534855282126,5.4272871891763,0.0544144591166266,0.0788265150222214,0.0788265150222214,0.399722922416544,0.212067489161069,0.0544144591166266,0.527373549249955,0.0544144591166266,0.212067489161069,0.212067489161069,1.09033984901638,15.7733097268791,4.42900521647686,0.50296149334436,5.98466314163729,0.157653030044443,1.1691663640386,2.82806286012684,2.89570868053819,0.266481948277696,3.2654291997437,0.350898810605355,4.31253528425433,0.0544144591166266,0,10.9048875041015,0.0788265150222214,1.03033504259432,1.95538084757697,0.296484351488728,0.478549437438766,1.72095196919415,10.0286658109301,0.212067489161069,3.62955937164377,0.0788265150222214,0,0.133240974138848,1.09033984901638,0.0788265150222214,0,1.06033744580535
1980,45.3962922671546,5.07200559747689,0.0759327873271327,0.0759327873271327,0.103946078342107,0.17987886566924,0,0.0759327873271327,0.611515841475957,0.0519730391710535,0.103946078342107,0.231851904840293,1.27095117926407,15.0611822019094,4.15270506383351,0.539636597007719,4.72846203757399,0.307784692167426,0.719515462676959,2.39445183573006,2.61008956913478,0.203838613825319,3.45345731545103,0.411730770509533,3.27357844978179,0.207892156684214,0,11.9951343998145,0.0519730391710535,1.02324661198549,1.47884333594829,0.127905826498186,0.899394328346198,0.979380658532226,7.96628161962031,0.0519730391710535,3.1534182000041,0.203838613825319,0,0.0759327873271327,1.52676283226044,0,0.151865574654265,1.37895080046507
1981,48.9147535487666,4.2160686314288,0.198446186206434,0.148936064705706,0.148936064705706,0.198446186206434,0.198446186206434,0.0744680323528531,0.694358801620758,0,0.148936064705706,0.223404097058559,1.36457109279644,13.2157466406289,5.55689891398368,0.272508518355765,5.75250519876546,0.0744680323528531,0.669400890768634,2.35396212240395,2.77621810587247,0.471360404765721,3.27253642149031,0.247956307707162,2.8032045177422,0.346976550708618,0,12.2979837419496,0,1.73650555435718,2.05892989441719,0.123978153853581,0.793784744825737,1.63667391094868,8.87610555555007,0.322424340060015,4.21809713244641,0.0744680323528531,0,0.049510121500728,1.24018723873933,0.123978153853581,0,1.0417410525329
1982,49.72086443907,4.84227864356212,0.168477828145925,0,0,0.356199619282186,0.118733206427395,0,0.256710375845127,0.0497446217185298,0.0497446217185298,0.137977169417731,1.24506395324496,13.7970137473353,4.87277930229031,0.455688862719246,5.99439221034078,0.187721791136261,0.762143860282902,3.27006731948144,2.88009761298568,0.168477828145925,3.95341430959934,0.48618952144744,2.72287648057762,0.0689885847088657,0.0497446217185298,13.4055956305578,0,1.75848470493522,2.00720781352786,0.118733206427395,0.980366310147357,0.850376407982104,9.17622698212302,0.137977169417731,3.60193252908425,0,0,0.0689885847088657,0.900121029700634,0,0.0497446217185298,1.59000687678929
1983,47.0536255243243,5.17032548974455,0.164556773716343,0.0666635036678082,0.0666635036678082,0.0666635036678082,0.0666635036678082,0,0.795758073107342,0,0.0489466350242672,0.133327007335616,0.893651343155877,13.6555092634021,4.15686003699024,0.542616956173295,5.31296142391099,0.262450043764877,0.346830416076226,2.94850902915698,3.22357098564093,0.44472368612476,3.00586360599396,0.52910405843611,3.339181124333,0.195786540097069,0,12.885876000751,0.0489466350242672,1.43626829932917,2.0986993651009,0.462440554768301,1.27171152561283,1.52485264254688,8.41341531406525,0.182273642359884,3.53406667941195,0.164556773716343,0,0,0.773837233557445,0,0,0.729094569439534
1984,50.2333970179253,4.73081134130335,0.127329450742962,0.127329450742962,0,0.461980979217779,0.143657352360373,0.0478857841201245,0.557752547458028,0.0478857841201245,0.111550509491606,0.127329450742962,0.94028986005297,15.2193040353445,3.95105569559421,0.207322077731855,6.41984792492879,0.111550509491606,1.08284929168123,2.82141854052496,2.99553585465594,0.477759920469136,3.5211815592452,0.414644155463709,3.05974954039348,0.31887258722346,0,13.5607274134897,0,1.01973352667581,1.38594293765334,0.366209410977531,0.653524115698277,1.25971140764248,10.3595163622001,0.429874136349012,2.78656689582593,0.238879960234568,0,0.143657352360373,0.716639880703704,0.111550509491606,0,0.82819039019531
