"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus,.nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,16.3161364319727,2.1865994380511,0.100424129993072,0,0,0.276641279621305,0,0,0.0757930196351612,0,0,0.0757930196351612,0.553282559242609,13.8851255789039,3.64559885579278,0.655606377797111,3.17000900474676,0,0.377065409614377,3.60203570076125,1.51206101558037,0.100424129993072,1.81333340555958,0.252010169263394,1.3339441773907,0.100424129993072,0,5.69201038594213,0,0.477489539607448,1.08193400812731,0.327803188898555,0.428227318891627,1.40973719702586,8.35989874072354,0.252010169263394,1.20698924847829,0,0,0.100424129993072,0.553282559242609,0,0,0.704868598512932
1974,19.424915905457,3.29175205199935,0,0,0,0.29379870559885,0.0837124430775365,0,0.251137329232609,0.0631869097218885,0.0837124430775365,0.210086262521313,0.210086262521313,14.1321167678715,2.51620422129093,0.503884968120163,4.08782541606342,0.126373819443777,0.167424886155073,3.17504009048524,1.86703021002628,0,1.97126818645947,0.399646991686979,2.43571239752328,0.0837124430775365,0,6.75898053842849,0,0.420172525042627,1.48790875169495,0.0837124430775365,0.210086262521313,0.965108559874086,8.70650257222242,0.230611795876961,1.2162458891067,0.167424886155073,0,0.230611795876961,0.671309854275236,0,0,0.671309854275236
1975,17.7929777098125,2.39600837414518,0,0,0.128078131453449,0.201177397978483,0,0,0.0730992665250348,0.128078131453449,0.128078131453449,0.0730992665250348,0.402354795956967,13.0433783661009,2.57783005024994,0.530432927410415,3.58557002055801,0.109957729856828,0.384234394360346,3.73423919416228,1.90305157020511,0.128078131453449,2.14170509165394,0.530432927410415,2.25042750123366,0.0730992665250348,0,6.95369522195657,0.0730992665250348,0.384234394360346,1.13458278148442,0.201177397978483,0.311135127835311,0.622270255670622,9.6077128394243,0.109957729856828,1.48134105237442,0,0,0.109957729856828,0.457333660885381,0,0.0549788649284138,0.658511058863864
1976,16.6123597325943,2.20196095332568,0.0716566809320539,0,0,0.228035174137177,0,0.0716566809320539,0.228035174137177,0,0.143313361864108,0.195439526265815,0.729631940661554,14.2802849097079,2.12370452624194,0.403944183872646,2.97078828801028,0.214970042796162,0.338752888129923,2.56697846509998,2.84040569652483,0.0716566809320539,2.91866212360857,0.579853193608115,2.03265168974189,0.319222371599577,0,6.85371727256926,0.123782845333762,0.872945302525662,0.879545048677346,0.247565690667523,0.319222371599577,1.11404560800385,8.6323378864543,0.143313361864108,1.06838482879148,0.0716566809320539,0,0,0.872945302525662,0,0,0.351818019470938
1977,18.731361737942,2.62106625258,0,0,0,0.0521950440368734,0,0,0.236682350887822,0,0.0521950440368734,0.184487306850949,0.396876788442227,11.7266042852786,2.36009103239563,0.431511439665152,3.81842909438927,0.104390088073747,0.184487306850949,4.05462531087212,2.39111637817477,0.170536219480785,1.91775167639912,0.288877394924696,2.07794611395353,0.288877394924696,0,8.85490459444058,0.118341175443911,0.737949227403796,0.988582665661783,0.30282848229486,0.539510833182683,1.40614301795677,10.0450488253623,0.118341175443911,0.908485446884581,0.0521950440368734,0,0.0521950440368734,0.393267482998443,0,0,0.368974613701898
1978,17.1603226442046,2.71987227999631,0,0.0511211692916133,0,0.114942286603299,0,0,0.35752680782997,0,0.166063455894912,0.191463351935057,0.35752680782997,10.2285779988483,2.91101425472005,0.766496162162876,4.34176424046257,0,0.281005742498211,4.16396496818156,1.6733345069692,0.0638211173116857,1.82605526042139,0.587411381036568,2.42680934390068,0.127642234623371,0.0638211173116857,9.52654570841978,0.0638211173116857,0.676632394388398,1.51964962188303,0.281005742498211,0.281005742498211,1.2005440353246,10.3050990641801,0.178763403914985,1.22562255415343,0.114942286603299,0,0.127642234623371,0.242584521226671,0.0638211173116857,0,0.421347925141655
1979,17.8263957063382,3.09121447048264,0.0609293994036853,0,0.0498753384416652,0.232663536652721,0.0609293994036853,0.0609293994036853,0.11080473784535,0.0609293994036853,0.0609293994036853,0.0609293994036853,0.526256472709127,10.3655058907961,1.78932483285606,0.271484814132366,3.87250672999368,0.0997506768833304,0.476381134267462,2.74801032420972,1.6841791896043,0.171734137249036,1.69523325056632,0.404397673901757,2.97501476626886,0.160680076287016,0,9.97216227785639,0.0498753384416652,0.581790905744377,1.81709204937369,0.343468274498071,0.581790905744377,0.975134518684114,8.9142543660697,0.11080473784535,1.37387309799229,0.0498753384416652,0,0.0609293994036853,0.476381134267462,0,0,0.404397673901757
1980,17.7914095840519,2.04567209529648,0,0,0.116391345729977,0.261641691404552,0,0.048416781891525,0.271420582378016,0.0581956728649886,0.213224909513027,0.223003800486491,0.232782691459954,11.3130874600429,1.50283093054045,0.833341856105181,3.43115633415536,0.271420582378016,0.659232510486009,4.06987571674286,1.99677764042916,0.106612454756514,2.24911811383604,0.436228709999518,1.98747642243149,0.281199473351479,0,9.1305108911179,0.0581956728649886,0.659232510486009,0.659232510486009,0.155029236648039,0.824040638107511,1.09546122048553,7.80178930619662,0.0581956728649886,0.785402747189449,0.106612454756514,0,0,0.446007600972981,0,0,0.620594619567947
1981,18.6165007560378,1.78969223948909,0.0554378747196092,0,0,0.150410573655623,0.0554378747196092,0,0.37216207253406,0,0.0949726989360139,0,0.324675723066053,9.74666360294194,1.62337861533026,0.316724197814451,4.31508869266988,0.237431747340035,0.427599947253669,3.52305539609215,2.36747995835678,0.110875749439218,2.5178905320124,0.300821147311246,1.9553374575231,0.316724197814451,0,9.75439232615194,0,0.728421094564915,1.21918763974819,0.102924224187616,0.506669595686478,0.902686243975345,9.06483764967861,0.158362098907225,0.958124118694954,0.0949726989360139,0,0.0554378747196092,0.530524171441285,0.0554378747196092,0,0.475086296721676
1982,20.7567767456393,2.21070952580732,0.111400902410052,0,0,0.353129037062677,0.102207372066926,0,0.0557004512050259,0.102207372066926,0.102207372066926,0.0465069208618997,0.436410079297081,9.83894904030797,2.27560350735547,0.650557622920327,4.15264959507891,0.148714292928825,0.52942392102088,4.34894934716217,2.23882938598297,0.111400902410052,2.22044232529672,0.994493129639878,2.48055752063559,0.139520762585699,0.102207372066926,9.84760330150483,0.0465069208618997,0.640824823430932,1.15186168376556,0.102207372066926,0.696525274635958,0.706258074125353,8.37127170999851,0.0465069208618997,0.696525274635958,0,0,0,0.66894468360658,0,0.0557004512050259,0.57593084188278
1983,18.8191854661805,2.22146086313579,0.155404980618776,0,0,0.0915822689458377,0,0,0.310809961237553,0,0.100598057545848,0,0.42042380738341,10.0659727772933,1.73650215260657,0.749977537293852,3.38355861068591,0.219227692291715,0.210211903691705,3.869229512688,2.14862236286284,0.274034615364644,2.06605588251701,0.265018826764634,2.79871403408371,0.219227692291715,0,9.39927391181814,0.100598057545848,0.804072268893912,1.29804676802314,0.402392230183391,0.831831826166811,0.8505755948397,8.11166731534075,0.0548069230729288,0.959477249512688,0.155404980618776,0,0,0.584844576602197,0,0,0.448183364656309
1984,17.4476919139942,1.71946374049929,0,0.0452915268502972,0,0.342023282889801,0.160857175488612,0.0536190584962041,0.268095292481021,0.0536190584962041,0.0989105853465013,0.0452915268502972,0.618446107016729,11.4553585570903,1.7730827989955,0.342023282889801,3.82887636495507,0.0536190584962041,0.305059287685411,3.83618410219659,1.92093877981306,0.152529643842705,2.30825358955316,0.412297404677819,3.04124555080382,0.350350814535708,0,10.2137926800317,0,0.564827048520525,0.844903741268215,0.0989105853465013,0.782957151126104,1.27385620923785,9.0471745877863,0.0989105853465013,0.935486794968809,0.0989105853465013,0,0.20614870233891,0.20614870233891,0.0536190584962041,0,0.305059287685411
1985,18.1657403462948,1.68984055365343,0.0522512886552346,0,0,0.306282460212695,0,0,0.441360511022261,0,0.0522512886552346,0.104502577310469,0.434135239303549,9.50647697296327,1.55476250284386,0.194554611183513,3.78491525973555,0.246805899838748,0.299057188493982,4.06564540632189,2.09507470608212,0,2.6320381360719,0.538637816614018,2.91664478112845,0.201779882902226,0,9.20019451275058,0,0.657590937361912,1.42135883865854,0,0.62146457876835,0.91329649554362,9.59097812174185,0.0900520338730442,1.29350605956769,0.149528594246991,0.0522512886552346,0,0.448585782740974,0,0,0.396334494085739
1986,19.5445755615147,1.93092414837068,0.0511355755588357,0.0511355755588357,0.0511355755588357,0.198205972392952,0.0511355755588357,0,0.255677877794178,0,0.0447992457164447,0.198205972392952,0.626744503210518,9.45096831325748,1.62411069501767,0.441211190502348,3.49167154496444,0.191869642550561,0.741688314012971,3.60750522940631,1.94448668169488,0.0511355755588357,2.01418630996118,0.326267379699895,2.84591805222675,0.28146813398345,0,10.0659300304226,0.0447992457164447,0.645753492737691,0.812277815918688,0.140734066991725,1.04894670418569,0.93400289338324,9.02376459289904,0.0959348212752804,0.99736619180715,0.140734066991725,0,0.198205972392952,0.773814900044634,0,0,0.697334005116234
1987,18.1379545623332,1.5986601549081,0.0499346000466299,0,0,0.139967470813752,0.0499346000466299,0.0998692000932598,0.334787706337203,0,0.14980380013989,0,0.619640812627776,9.11379349446645,1.86308764913045,0.519771612534516,3.12771305111729,0.144885635476821,0.194820235523451,3.95843450008961,2.31817016762913,0.0499346000466299,2.4638087565219,0.519771612534516,3.01384231045077,0.144885635476821,0,11.9982576168455,0,0.374885977057695,1.03462506040596,0.139967470813752,0.719510012721035,1.17951069588278,8.58002034135867,0.094951035430191,0.779280942093803,0,0,0.094951035430191,0.774362777430734,0,0,0.719510012721035
