"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus,.nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1987,36.1911546580625,3.13080718333535,0.151799947234477,0.0401689067955033,0.0401689067955033,0.248391035164068,0.111631040438973,0.102755360491437,0.571326340252529,0,0.0938796805438998,0.0401689067955033,0.629332572111052,10.9735975339745,3.57770207398647,0.406070491233105,4.24971616171938,0.291642078240494,0.483610932270474,3.60541790401901,3.26036151400529,0.31247557441649,2.99011076114748,0.365901584437602,3.17413249333184,0.171135357853984,0,13.6649616879698,0.12050672038651,0.757130921720664,1.61243698209535,0.328728848755075,0.892763559784501,0.899856390448265,9.75537436202729,0.220179944597024,2.05495044946841,0.12050672038651,0,0.0996732242105142,0.886970016117887,0.0401689067955033,0,0.973101373375508
1988,34.319492188342,3.27763448799744,0.306172933217802,0.0676347124719919,0.106902215713294,0.21622672279297,0.0700570038383734,0.030789500597071,0.510988452068545,0.0785350064826048,0.109324507079676,0.174536928185286,0.954853101596712,12.8521285793402,3.33436890645882,0.196848426138126,6.47495477781678,0.213804431426589,0.572567453262687,3.99211309248647,2.66006538718915,0.21622672279297,3.26048913975091,0.470320477324089,3.06102907928834,0.170903508273818,0.118313419655521,12.3369958317048,0.100846504435444,0.933052513575486,1.84360422051627,0.277805723987112,0.979397547957866,1.33089369569482,8.90108016792085,0.266394520044885,2.15621151665185,0.236115929379428,0,0.092368501791213,1.03440992794254,0.0676347124719919,0,0.599023281058609
1989,33.1444208095831,3.99230713576044,0.258450058963006,0.0766109864587188,0.0383054932293594,0.281224549511071,0.0688454851180715,0.0610799837774241,0.464986514317221,0,0.0610799837774241,0.135768077934281,0.537229702698339,13.3247661829979,3.17879932990846,0.233230662639203,7.32895737054223,0.248761665320497,0.642457788743907,3.44370998366878,2.72992246655236,0.0766109864587188,3.41216055948681,0.573612303625836,2.49040111353369,0.154696783878622,0.14545647157679,12.9117672044227,0.0383054932293594,0.918361742690071,1.79937078963809,0.128002576593634,1.25155653061589,1.10455131594471,10.1183937804504,0.156619676180484,2.09901932894687,0.309841649097921,0,0.122159967554848,0.787914260320698,0.0766109864587188,0,0.925605230556841
1990,35.1559489501658,3.81298272492026,0.171189849980367,0.0289609653441736,0.11188060996984,0.356062832002209,0.142228884636193,0,0.53023469256598,0.0979900859893207,0.135283622645934,0.149174146626453,0.811710451254962,13.4891255392367,3.36467772077714,0.454052917991529,7.16331684972574,0.0606965493327075,0.87379430990985,4.11782320817229,1.74481400117534,0.327309258597079,3.3777561077602,0.387798415990742,2.94252077522078,0.195980171978641,0.266405317325327,11.6072171068358,0.126951051333494,0.828168201940797,1.44806912456302,0.21681595794942,0.636151281369011,1.6188441906653,9.7340647450048,0.247164232615773,2.23678263164061,0.21681595794942,0,0.0303482746663538,1.15665737792101,0,0,0.844833344565676
1991,36.947734136519,3.31635348407486,0.0661569096171196,0.0299180440660772,0.144955462204169,0.257248689145367,0.181194327755212,0,0.482060831774733,0.0955458897641239,0.197941664932286,0.298750248343229,0.708333349015877,10.9155034851818,3.49185492586571,0.523865766144698,7.74236289870364,0.270419396034371,0.694633578207801,3.50072280550543,1.91608161732777,0.174344442351174,3.72115382429945,0.568012644937924,2.63219616244039,0.312979083070378,0.0661569096171196,12.3007705793593,0.0724777311020847,0.581712415746,1.35398754710118,0.396941457702718,1.05732560889033,1.25685446557983,9.80378103983282,0.0892250682791588,2.3623549610454,0.204262486417251,0,0.0299180440660772,0.968629604530242,0,0,0.725080686192951
1992,33.7194445103349,4.0881762748006,0.284083115901852,0.0299223603897863,0.0649311766429312,0.124537149824354,0.130101100884013,0,0.514601704878241,0.0352475638512951,0.100178740494226,0.300774969080829,0.685275573075058,11.8780832126994,3.11349238236218,0.349730535339234,7.61471536720863,0.265527405229534,0.44943178063716,3.89073999624069,2.1825863421451,0.235605044839748,4.08443104635244,0.585335580178982,2.71244741461342,0.349730535339234,0.243510348589048,11.2807384847207,0.100178740494226,1.32207307508801,1.54428260983102,0.354816991202593,1.10550123611688,1.34972782750038,11.3287124275762,0.230279841378239,1.86401704006825,0.300774969080829,0,0.0596059731814224,1.06743482437964,0,0,0.544762812866178
1993,33.3137172212473,3.40203293234307,0.400287584018112,0.0649967472969977,0.0995071337766736,0.227735651619732,0.0986246454012054,0,0.296756424579084,0.0690207729593518,0.188318751102234,0.267152552137231,0.791644628336048,11.8370775109964,3.46349972613819,0.347033629762615,7.66947357677299,0.158714878660381,0.532540127523525,4.054648455408,1.71890725794874,0.231759677282087,3.70761453316111,0.473885587069724,3.03383219016257,0.317429757320761,0.121062954893819,11.153765192676,0.0641142589215294,1.14093730701008,1.88462291134344,0.361753171876082,0.83249722165892,1.23873859630524,10.8663745401724,0.0304863608173218,2.3822642361723,0.163621392698203,0.059207744883707,0.0641142589215294,1.17583610970474,0,0,0.915849120516752
1994,30.1966081321912,3.55516867254978,0.162588118852336,0.0592447022257968,0.0649549570385209,0.293825233504542,0.0340054053504585,0.0340054053504585,0.260221280666152,0.0945773081514193,0.0340054053504585,0.196593524202795,0.706541323972746,11.1177836128979,3.07032527811695,0.214393913178177,7.18311017660289,0.0976331618138155,0.485109955406681,3.54451975560457,2.12520094624404,0.354798588817571,4.2955700728868,0.630165857308777,3.39947429115044,0.282404723879094,0.216122566265409,12.4576694908807,0.131638567164274,1.09401811756561,1.31106643189412,0.260221280666152,0.855578827600334,1.36419942679512,11.4313956230422,0.165643972514733,2.70941498197459,0.0989603623889795,0,0.0340054053504585,1.21383472259237,0,0,0.688740934997364
1995,33.0306804190707,3.9178978872704,0.0646047599211049,0.165367922226718,0.0335877207685379,0.29344754331561,0,0.0335877207685379,0.31223294260699,0.0634748611677864,0.126949722335573,0.248758081439204,0.613392530770513,11.4925620071888,2.9533744701315,0.348080460882165,7.64212196787399,0.131780201458181,0.573533548016715,3.76425192311831,2.79840136080078,0.294888326178262,4.62623367556711,0.630737147199241,2.76337285716959,0.344379880512876,0.093362001567035,12.5592608918051,0.0634748611677864,1.07876175574304,1.98548819214514,0.25471845931513,0.843025942144602,1.46059879715466,13.0882170643776,0.235114045379765,2.15469871908957,0.0298871403992486,0,0,1.15785795303196,0,0.0646047599211049,0.450284406050431
1996,32.8928294013066,3.24403963272772,0.130204661832923,0.0940558793457625,0,0.318970704757887,0.0665413777280331,0,0.509960557072556,0.0665413777280331,0.227792919035268,0.44917536659081,0.731997288861537,11.4996439164957,3.28430889187757,0.279616686530864,6.05760743062989,0.166353444320083,0.812274850471848,3.53998340422526,2.50151139572377,0.0940558793457625,3.8062594186931,0.666437337483664,2.4468516684582,0.291129061023438,0.0998120665920496,13.8402970984563,0.030392595240873,1.01737016263869,1.49635002566427,0.158700589800812,1.33287467496733,1.32168944259147,12.8337166563742,0.290801918906718,2.71895005559966,0.0636632841048895,0.0636632841048895,0.0639904262216094,1.32544064328427,0.0332706888640165,0,0.580361454773892
